"category","country","unit","year","value"
"Total coffee, tea, and spices","Colombia","Million dollars","2023","1560.8"
"Total coffee, tea, and spices","Colombia","Million dollars","2022","2132"
"Total coffee, tea, and spices","Colombia","Million dollars","2021","1485.3"
"Total coffee, tea, and spices","Colombia","Million dollars","2020","1221.8"
"Total coffee, tea, and spices","Colombia","Million dollars","2019","1267.9000000000001"
"Total coffee, tea, and spices","Colombia","Million dollars","2018","1254"
"Total coffee, tea, and spices","Colombia","Million dollars","2017","1367.9"
"Total coffee, tea, and spices","Colombia","Million dollars","2016","1194.9000000000001"
"Total coffee, tea, and spices","Colombia","Million dollars","2015","1311.2"
"Total coffee, tea, and spices","Colombia","Million dollars","2014","1243.7"
"Total coffee, tea, and spices","Colombia","Million dollars","2013","1026.2"
"Total coffee, tea, and spices","Colombia","Million dollars","2012","999.5"
"Total coffee, tea, and spices","Colombia","Million dollars","2011","1441.9"
"Total coffee, tea, and spices","Colombia","Million dollars","2010","918.1"
"Total coffee, tea, and spices","Colombia","Million dollars","2009","789"
"Total coffee, tea, and spices","Colombia","Million dollars","2008","853.7"
"Total coffee, tea, and spices","Colombia","Million dollars","2007","706.8"
"Total coffee, tea, and spices","Colombia","Million dollars","2006","629.9"
"Total coffee, tea, and spices","Colombia","Million dollars","2005","632.70000000000005"
"Total coffee, tea, and spices","Colombia","Million dollars","2004","410"
"Total coffee, tea, and spices","Colombia","Million dollars","2003","377.3"
"Total coffee, tea, and spices","Colombia","Million dollars","2002","331.4"
"Total coffee, tea, and spices","Colombia","Million dollars","2001","318.8"
"Total coffee, tea, and spices","Colombia","Million dollars","2000","451.6"
"Total coffee, tea, and spices","Colombia","Million dollars","1999","519.29999999999995"
"Total coffee, tea, and spices","Brazil","Million dollars","2023","1541.4"
"Total coffee, tea, and spices","Brazil","Million dollars","2022","2266.6999999999998"
"Total coffee, tea, and spices","Brazil","Million dollars","2021","1378.7"
"Total coffee, tea, and spices","Brazil","Million dollars","2020","1216.7"
"Total coffee, tea, and spices","Brazil","Million dollars","2019","1171.5999999999999"
"Total coffee, tea, and spices","Brazil","Million dollars","2018","1122.4000000000001"
"Total coffee, tea, and spices","Brazil","Million dollars","2017","1258.5999999999999"
"Total coffee, tea, and spices","Brazil","Million dollars","2016","1277.8"
"Total coffee, tea, and spices","Brazil","Million dollars","2015","1585.6"
"Total coffee, tea, and spices","Brazil","Million dollars","2014","1552.7"
"Total coffee, tea, and spices","Brazil","Million dollars","2013","1291.0999999999999"
"Total coffee, tea, and spices","Brazil","Million dollars","2012","1515.4"
"Total coffee, tea, and spices","Brazil","Million dollars","2011","2111.4"
"Total coffee, tea, and spices","Brazil","Million dollars","2010","1209.9000000000001"
"Total coffee, tea, and spices","Brazil","Million dollars","2009","867"
"Total coffee, tea, and spices","Brazil","Million dollars","2008","863.2"
"Total coffee, tea, and spices","Brazil","Million dollars","2007","746"
"Total coffee, tea, and spices","Brazil","Million dollars","2006","642"
"Total coffee, tea, and spices","Brazil","Million dollars","2005","562.5"
"Total coffee, tea, and spices","Brazil","Million dollars","2004","394"
"Total coffee, tea, and spices","Brazil","Million dollars","2003","339.5"
"Total coffee, tea, and spices","Brazil","Million dollars","2002","259.8"
"Total coffee, tea, and spices","Brazil","Million dollars","2001","233.3"
"Total coffee, tea, and spices","Brazil","Million dollars","2000","336.4"
"Total coffee, tea, and spices","Brazil","Million dollars","1999","553.29999999999995"
"Total coffee, tea, and spices","Switzerland","Million dollars","2023","1123.4000000000001"
"Total coffee, tea, and spices","Switzerland","Million dollars","2022","854.1"
"Total coffee, tea, and spices","Switzerland","Million dollars","2021","790.9"
"Total coffee, tea, and spices","Switzerland","Million dollars","2020","454.5"
"Total coffee, tea, and spices","Switzerland","Million dollars","2019","360.9"
