"category","country","unit","year","value"
"Total red meats, fresh and frozen 1/","Canada","Million dollars","2023","3793.9"
"Total red meats, fresh and frozen 1/","Canada","Million dollars","2022","3682.4"
"Total red meats, fresh and frozen 1/","Canada","Million dollars","2021","3494.6"
"Total red meats, fresh and frozen 1/","Canada","Million dollars","2020","2418.9"
"Total red meats, fresh and frozen 1/","Canada","Million dollars","2019","2356.8000000000002"
"Total red meats, fresh and frozen 1/","Canada","Million dollars","2018","2240.3000000000002"
"Total red meats, fresh and frozen 1/","Canada","Million dollars","2017","2205.5"
"Total red meats, fresh and frozen 1/","Canada","Million dollars","2016","2159.3000000000002"
"Total red meats, fresh and frozen 1/","Canada","Million dollars","2015","2200.1"
"Total red meats, fresh and frozen 1/","Canada","Million dollars","2014","2346.1"
"Total red meats, fresh and frozen 1/","Canada","Million dollars","2013","1797.7"
"Total red meats, fresh and frozen 1/","Canada","Million dollars","2012","1658.3"
"Total red meats, fresh and frozen 1/","Canada","Million dollars","2011","1757.9"
"Total red meats, fresh and frozen 1/","Canada","Million dollars","2010","1728.4"
"Total red meats, fresh and frozen 1/","Canada","Million dollars","2009","1375"
"Total red meats, fresh and frozen 1/","Canada","Million dollars","2008","1525.9"
"Total red meats, fresh and frozen 1/","Canada","Million dollars","2007","1539.8"
"Total red meats, fresh and frozen 1/","Canada","Million dollars","2006","1651.7"
"Total red meats, fresh and frozen 1/","Canada","Million dollars","2005","2045.7"
"Total red meats, fresh and frozen 1/","Canada","Million dollars","2004","1978.1"
"Total red meats, fresh and frozen 1/","Canada","Million dollars","2003","1532"
"Total red meats, fresh and frozen 1/","Canada","Million dollars","2002","1729"
"Total red meats, fresh and frozen 1/","Canada","Million dollars","2001","1772.7"
"Total red meats, fresh and frozen 1/","Canada","Million dollars","2000","1558.7"
"Total red meats, fresh and frozen 1/","Canada","Million dollars","1999","1353.8"
"Total red meats, fresh and frozen 1/","Australia","Million dollars","2023","2589.9"
"Total red meats, fresh and frozen 1/","Australia","Million dollars","2022","2487"
"Total red meats, fresh and frozen 1/","Australia","Million dollars","2021","2304.4"
"Total red meats, fresh and frozen 1/","Australia","Million dollars","2020","2308.6999999999998"
"Total red meats, fresh and frozen 1/","Australia","Million dollars","2019","2360.6"
"Total red meats, fresh and frozen 1/","Australia","Million dollars","2018","2073.1"
"Total red meats, fresh and frozen 1/","Australia","Million dollars","2017","2063.6999999999998"
"Total red meats, fresh and frozen 1/","Australia","Million dollars","2016","2039.7"
"Total red meats, fresh and frozen 1/","Australia","Million dollars","2015","3106.4"
"Total red meats, fresh and frozen 1/","Australia","Million dollars","2014","2651.6"
"Total red meats, fresh and frozen 1/","Australia","Million dollars","2013","1523.5"
"Total red meats, fresh and frozen 1/","Australia","Million dollars","2012","1517"
"Total red meats, fresh and frozen 1/","Australia","Million dollars","2011","1242.0999999999999"
"Total red meats, fresh and frozen 1/","Australia","Million dollars","2010","1148.2"
"Total red meats, fresh and frozen 1/","Australia","Million dollars","2009","1150.5999999999999"
"Total red meats, fresh and frozen 1/","Australia","Million dollars","2008","1223.0999999999999"
"Total red meats, fresh and frozen 1/","Australia","Million dollars","2007","1383.9"
"Total red meats, fresh and frozen 1/","Australia","Million dollars","2006","1280.9000000000001"
"Total red meats, fresh and frozen 1/","Australia","Million dollars","2005","1242.4000000000001"
"Total red meats, fresh and frozen 1/","Australia","Million dollars","2004","1397.2"
"Total red meats, fresh and frozen 1/","Australia","Million dollars","2003","1146.9000000000001"
"Total red meats, fresh and frozen 1/","Australia","Million dollars","2002","1070.0999999999999"
"Total red meats, fresh and frozen 1/","Australia","Million dollars","2001","1023.4"
"Total red meats, fresh and frozen 1/","Australia","Million dollars","2000","820.3"
"Total red meats, fresh and frozen 1/","Australia","Million dollars","1999","621.79999999999995"
"Total red meats, fresh and frozen 1/","Mexico","Million dollars","2023","1983.7"
"Total red meats, fresh and frozen 1/","Mexico","Million dollars","2022","2121.1"
"Total red meats, fresh and frozen 1/","Mexico","Million dollars","2021","2091.6999999999998"
"Total red meats, fresh and frozen 1/","Mexico","Million dollars","2020","1569.4"
"Total red meats, fresh and frozen 1/","Mexico","Million dollars","2019","1373.2"
"Total red meats, fresh and frozen 1/","Mexico","Million dollars","2018","1200.5"
"Total red meats, fresh and frozen 1/","Mexico","Million dollars","2017","1109.5999999999999"
"Total red meats, fresh and frozen 1/","Mexico","Million dollars","2016","1089"
"Total red meats, fresh and frozen 1/","Mexico","Million dollars","2015","1070.9000000000001"
"Total red meats, fresh and frozen 1/","Mexico","Million dollars","2014","836.4"
"Total red meats, fresh and frozen 1/","Mexico","Million dollars","2013","582.70000000000005"
"Total red meats, fresh and frozen 1/","Mexico","Million dollars","2012","547.5"
"Total red meats, fresh and frozen 1/","Mexico","Million dollars","2011","345.4"
"Total red meats, fresh and frozen 1/","Mexico","Million dollars","2010","227.6"
"Total red meats, fresh and frozen 1/","Mexico","Million dollars","2009","134.80000000000001"
"Total red meats, fresh and frozen 1/","Mexico","Million dollars","2008","92.1"
"Total red meats, fresh and frozen 1/","Mexico","Million dollars","2007","103.7"
"Total red meats, fresh and frozen 1/","Mexico","Million dollars","2006","81.7"
"Total red meats, fresh and frozen 1/","Mexico","Million dollars","2005","51.5"
"Total red meats, fresh and frozen 1/","Mexico","Million dollars","2004","36"
"Total red meats, fresh and frozen 1/","Mexico","Million dollars","2003","26.8"
"Total red meats, fresh and frozen 1/","Mexico","Million dollars","2002","16"
"Total red meats, fresh and frozen 1/","Mexico","Million dollars","2001","15.3"
"Total red meats, fresh and frozen 1/","Mexico","Million dollars","2000","11.8"
"Total red meats, fresh and frozen 1/","Mexico","Million dollars","1999","9.3000000000000007"
"Total red meats, fresh and frozen 1/","New Zealand","Million dollars","2023","1347.7"
"Total red meats, fresh and frozen 1/","New Zealand","Million dollars","2022","1287.4000000000001"
"Total red meats, fresh and frozen 1/","New Zealand","Million dollars","2021","1306.3"
"Total red meats, fresh and frozen 1/","New Zealand","Million dollars","2020","1136"
"Total red meats, fresh and frozen 1/","New Zealand","Million dollars","2019","949.9"
"Total red meats, fresh and frozen 1/","New Zealand","Million dollars","2018","1187.5"
"Total red meats, fresh and frozen 1/","New Zealand","Million dollars","2017","1118"
"Total red meats, fresh and frozen 1/","New Zealand","Million dollars","2016","1101.9000000000001"
"Total red meats, fresh and frozen 1/","New Zealand","Million dollars","2015","1384.9"
"Total red meats, fresh and frozen 1/","New Zealand","Million dollars","2014","1163.3"
