"category","country","unit","year","value"
"Total vegetable oils 1/","Canada","Million dollars","2023","5058.3"
"Total vegetable oils 1/","Canada","Million dollars","2022","4164.8999999999996"
"Total vegetable oils 1/","Canada","Million dollars","2021","3101.9"
"Total vegetable oils 1/","Canada","Million dollars","2020","1693.1"
"Total vegetable oils 1/","Canada","Million dollars","2019","1743.7"
"Total vegetable oils 1/","Canada","Million dollars","2018","1724.8"
"Total vegetable oils 1/","Canada","Million dollars","2017","1913.9"
"Total vegetable oils 1/","Canada","Million dollars","2016","1751.8"
"Total vegetable oils 1/","Canada","Million dollars","2015","1529.8"
"Total vegetable oils 1/","Canada","Million dollars","2014","1626.5"
"Total vegetable oils 1/","Canada","Million dollars","2013","1667.7"
"Total vegetable oils 1/","Canada","Million dollars","2012","1920.9"
"Total vegetable oils 1/","Canada","Million dollars","2011","2043.2"
"Total vegetable oils 1/","Canada","Million dollars","2010","1091.5"
"Total vegetable oils 1/","Canada","Million dollars","2009","958.3"
"Total vegetable oils 1/","Canada","Million dollars","2008","1416"
"Total vegetable oils 1/","Canada","Million dollars","2007","681.3"
"Total vegetable oils 1/","Canada","Million dollars","2006","463.1"
"Total vegetable oils 1/","Canada","Million dollars","2005","338"
"Total vegetable oils 1/","Canada","Million dollars","2004","361.2"
"Total vegetable oils 1/","Canada","Million dollars","2003","273.60000000000002"
"Total vegetable oils 1/","Canada","Million dollars","2002","223.4"
"Total vegetable oils 1/","Canada","Million dollars","2001","205.2"
"Total vegetable oils 1/","Canada","Million dollars","2000","213.5"
"Total vegetable oils 1/","Canada","Million dollars","1999","275"
"Total vegetable oils 1/","Indonesia","Million dollars","2023","2135.3000000000002"
"Total vegetable oils 1/","Indonesia","Million dollars","2022","2927.6"
"Total vegetable oils 1/","Indonesia","Million dollars","2021","2004.9"
"Total vegetable oils 1/","Indonesia","Million dollars","2020","945.9"
"Total vegetable oils 1/","Indonesia","Million dollars","2019","882.4"
"Total vegetable oils 1/","Indonesia","Million dollars","2018","1065.3"
"Total vegetable oils 1/","Indonesia","Million dollars","2017","1275.8"
"Total vegetable oils 1/","Indonesia","Million dollars","2016","906.8"
"Total vegetable oils 1/","Indonesia","Million dollars","2015","663.2"
"Total vegetable oils 1/","Indonesia","Million dollars","2014","664.5"
"Total vegetable oils 1/","Indonesia","Million dollars","2013","456.2"
"Total vegetable oils 1/","Indonesia","Million dollars","2012","191.6"
"Total vegetable oils 1/","Indonesia","Million dollars","2011","360.9"
"Total vegetable oils 1/","Indonesia","Million dollars","2010","105.7"
"Total vegetable oils 1/","Indonesia","Million dollars","2009","184.8"
"Total vegetable oils 1/","Indonesia","Million dollars","2008","240"
"Total vegetable oils 1/","Indonesia","Million dollars","2007","102"
"Total vegetable oils 1/","Indonesia","Million dollars","2006","95.9"
"Total vegetable oils 1/","Indonesia","Million dollars","2005","95.9"
"Total vegetable oils 1/","Indonesia","Million dollars","2004","50.7"
"Total vegetable oils 1/","Indonesia","Million dollars","2003","24.9"
"Total vegetable oils 1/","Indonesia","Million dollars","2002","35.4"
"Total vegetable oils 1/","Indonesia","Million dollars","2001","23"
"Total vegetable oils 1/","Indonesia","Million dollars","2000","92.9"
"Total vegetable oils 1/","Indonesia","Million dollars","1999","83.7"
"Total vegetable oils 1/","Spain","Million dollars","2023","809.6"
"Total vegetable oils 1/","Spain","Million dollars","2022","856.3"
"Total vegetable oils 1/","Spain","Million dollars","2021","489.5"
"Total vegetable oils 1/","Spain","Million dollars","2020","321.2"
"Total vegetable oils 1/","Spain","Million dollars","2019","538.20000000000005"
"Total vegetable oils 1/","Spain","Million dollars","2018","553.29999999999995"
"Total vegetable oils 1/","Spain","Million dollars","2017","576.70000000000005"
"Total vegetable oils 1/","Spain","Million dollars","2016","532.79999999999995"
"Total vegetable oils 1/","Spain","Million dollars","2015","341"
"Total vegetable oils 1/","Spain","Million dollars","2014","424.5"
"Total vegetable oils 1/","Spain","Million dollars","2013","227.6"
"Total vegetable oils 1/","Spain","Million dollars","2012","226.9"
"Total vegetable oils 1/","Spain","Million dollars","2011","196.1"
"Total vegetable oils 1/","Spain","Million dollars","2010","208.1"
"Total vegetable oils 1/","Spain","Million dollars","2009","166.8"
"Total vegetable oils 1/","Spain","Million dollars","2008","197.9"
"Total vegetable oils 1/","Spain","Million dollars","2007","168.3"
"Total vegetable oils 1/","Spain","Million dollars","2006","178.6"
"Total vegetable oils 1/","Spain","Million dollars","2005","151.1"
"Total vegetable oils 1/","Spain","Million dollars","2004","126.3"
"Total vegetable oils 1/","Spain","Million dollars","2003","96.5"
"Total vegetable oils 1/","Spain","Million dollars","2002","84.7"
"Total vegetable oils 1/","Spain","Million dollars","2001","56"
"Total vegetable oils 1/","Spain","Million dollars","2000","63.7"
"Total vegetable oils 1/","Spain","Million dollars","1999","56.8"
"Total vegetable oils 1/","Italy","Million dollars","2023","807.6"
"Total vegetable oils 1/","Italy","Million dollars","2022","686.8"
"Total vegetable oils 1/","Italy","Million dollars","2021","552.29999999999995"
"Total vegetable oils 1/","Italy","Million dollars","2020","528.20000000000005"
"Total vegetable oils 1/","Italy","Million dollars","2019","497"
"Total vegetable oils 1/","Italy","Million dollars","2018","555.9"
"Total vegetable oils 1/","Italy","Million dollars","2017","582.29999999999995"
"Total vegetable oils 1/","Italy","Million dollars","2016","565.20000000000005"
"Total vegetable oils 1/","Italy","Million dollars","2015","533.70000000000005"
"Total vegetable oils 1/","Italy","Million dollars","2014","542.79999999999995"
"Total vegetable oils 1/","Italy","Million dollars","2013","560.4"
"Total vegetable oils 1/","Italy","Million dollars","2012","532.79999999999995"
"Total vegetable oils 1/","Italy","Million dollars","2011","524.79999999999995"
"Total vegetable oils 1/","Italy","Million dollars","2010","491.8"
"Total vegetable oils 1/","Italy","Million dollars","2009","526.9"
"Total vegetable oils 1/","Italy","Million dollars","2008","629.6"
"Total vegetable oils 1/","Italy","Million dollars","2007","583.6"
"Total vegetable oils 1/","Italy","Million dollars","2006","629.79999999999995"
"Total vegetable oils 1/","Italy","Million dollars","2005","566.9"
"Total vegetable oils 1/","Italy","Million dollars","2004","484.8"
"Total vegetable oils 1/","Italy","Million dollars","2003","365.9"
"Total vegetable oils 1/","Italy","Million dollars","2002","318.39999999999998"
"Total vegetable oils 1/","Italy","Million dollars","2001","275.5"
"Total vegetable oils 1/","Italy","Million dollars","2000","312.60000000000002"
"Total vegetable oils 1/","Italy","Million dollars","1999","231"
"Total vegetable oils 1/","Mexico","Million dollars","2023","387.3"
"Total vegetable oils 1/","Mexico","Million dollars","2022","314.5"
"Total vegetable oils 1/","Mexico","Million dollars","2021","234.8"
"Total vegetable oils 1/","Mexico","Million dollars","2020","225.9"
"Total vegetable oils 1/","Mexico","Million dollars","2019","166.1"
"Total vegetable oils 1/","Mexico","Million dollars","2018","154.1"
"Total vegetable oils 1/","Mexico","Million dollars","2017","115.6"
"Total vegetable oils 1/","Mexico","Million dollars","2016","113"
"Total vegetable oils 1/","Mexico","Million dollars","2015","92.6"
"Total vegetable oils 1/","Mexico","Million dollars","2014","90.5"
"Total vegetable oils 1/","Mexico","Million dollars","2013","82.6"
"Total vegetable oils 1/","Mexico","Million dollars","2012","76.3"
"Total vegetable oils 1/","Mexico","Million dollars","2011","62"
"Total vegetable oils 1/","Mexico","Million dollars","2010","46.9"
"Total vegetable oils 1/","Mexico","Million dollars","2009","41.4"
