"category","country","unit","year","value","sheet"
"Total beverages ","Mexico","Million dollars","2023",6739.7,"Beverages"
"Total beverages ","Mexico","Million dollars","2022",6332.8,"Beverages"
"Total beverages ","Mexico","Million dollars","2021",5724.3,"Beverages"
"Total beverages ","Mexico","Million dollars","2020",4926.6,"Beverages"
"Total beverages ","Mexico","Million dollars","2019",4427,"Beverages"
"Total beverages ","Mexico","Million dollars","2018",4019.1,"Beverages"
"Total beverages ","Mexico","Million dollars","2017",3687.9,"Beverages"
"Total beverages ","Mexico","Million dollars","2016",3428,"Beverages"
"Total beverages ","Mexico","Million dollars","2015",3051.5,"Beverages"
"Total beverages ","Mexico","Million dollars","2014",2788.6,"Beverages"
"Total beverages ","Mexico","Million dollars","2013",2246.7,"Beverages"
"Total beverages ","Mexico","Million dollars","2012",2111.1,"Beverages"
"Total beverages ","Mexico","Million dollars","2011",1955.3,"Beverages"
"Total beverages ","Mexico","Million dollars","2010",1860.5,"Beverages"
"Total beverages ","Mexico","Million dollars","2009",1764.7,"Beverages"
"Total beverages ","Mexico","Million dollars","2008",1832.3,"Beverages"
"Total beverages ","Mexico","Million dollars","2007",1878.5,"Beverages"
"Total beverages ","Mexico","Million dollars","2006",1861.9,"Beverages"
"Total beverages ","Mexico","Million dollars","2005",1570.8,"Beverages"
"Total beverages ","Mexico","Million dollars","2004",1361,"Beverages"
"Total beverages ","Mexico","Million dollars","2003",1256.7,"Beverages"
"Total beverages ","Mexico","Million dollars","2002",1182.2,"Beverages"
"Total beverages ","Mexico","Million dollars","2001",1035.9,"Beverages"
"Total beverages ","Mexico","Million dollars","2000",889,"Beverages"
"Total beverages ","Mexico","Million dollars","1999",763.7,"Beverages"
"Total beverages ","Italy","Million dollars","2023",2743.5,"Beverages"
"Total beverages ","Italy","Million dollars","2022",2877,"Beverages"
"Total beverages ","Italy","Million dollars","2021",2846.8,"Beverages"
"Total beverages ","Italy","Million dollars","2020",2486.8,"Beverages"
"Total beverages ","Italy","Million dollars","2019",2409.1,"Beverages"
"Total beverages ","Italy","Million dollars","2018",2370.7,"Beverages"
"Total beverages ","Italy","Million dollars","2017",2210.5,"Beverages"
"Total beverages ","Italy","Million dollars","2016",2116,"Beverages"
"Total beverages ","Italy","Million dollars","2015",2005.4,"Beverages"
"Total beverages ","Italy","Million dollars","2014",1984.7,"Beverages"
"Total beverages ","Italy","Million dollars","2013",1858.5,"Beverages"
"Total beverages ","Italy","Million dollars","2012",1700.2,"Beverages"
"Total beverages ","Italy","Million dollars","2011",1692.5,"Beverages"
"Total beverages ","Italy","Million dollars","2010",1448.7,"Beverages"
"Total beverages ","Italy","Million dollars","2009",1343.6,"Beverages"
"Total beverages ","Italy","Million dollars","2008",1445.8,"Beverages"
"Total beverages ","Italy","Million dollars","2007",1410.8,"Beverages"
"Total beverages ","Italy","Million dollars","2006",1271.5,"Beverages"
"Total beverages ","Italy","Million dollars","2005",1168,"Beverages"
"Total beverages ","Italy","Million dollars","2004",1041.8,"Beverages"
"Total beverages ","Italy","Million dollars","2003",988.7,"Beverages"
"Total beverages ","Italy","Million dollars","2002",827.3,"Beverages"
"Total beverages ","Italy","Million dollars","2001",668.8,"Beverages"
"Total beverages ","Italy","Million dollars","2000",627.7,"Beverages"
"Total beverages ","Italy","Million dollars","1999",581.7,"Beverages"
"Total beverages ","France","Million dollars","2023",2738,"Beverages"
"Total beverages ","France","Million dollars","2022",2919.9,"Beverages"
"Total beverages ","France","Million dollars","2021",2785,"Beverages"
"Total beverages ","France","Million dollars","2020",1930.7,"Beverages"
"Total beverages ","France","Million dollars","2019",2367.6,"Beverages"
