"category","country","unit","year","value","sheet"
"Total dairy products ","Italy","Million dollars","2023",473.4,"Dairy"
"Total dairy products ","Italy","Million dollars","2022",449.7,"Dairy"
"Total dairy products ","Italy","Million dollars","2021",423.6,"Dairy"
"Total dairy products ","Italy","Million dollars","2020",294,"Dairy"
"Total dairy products ","Italy","Million dollars","2019",375.4,"Dairy"
"Total dairy products ","Italy","Million dollars","2018",327.1,"Dairy"
"Total dairy products ","Italy","Million dollars","2017",304.2,"Dairy"
"Total dairy products ","Italy","Million dollars","2016",308,"Dairy"
"Total dairy products ","Italy","Million dollars","2015",304.9,"Dairy"
"Total dairy products ","Italy","Million dollars","2014",308.3,"Dairy"
"Total dairy products ","Italy","Million dollars","2013",310.3,"Dairy"
"Total dairy products ","Italy","Million dollars","2012",301.6,"Dairy"
"Total dairy products ","Italy","Million dollars","2011",311.8,"Dairy"
"Total dairy products ","Italy","Million dollars","2010",277.4,"Dairy"
"Total dairy products ","Italy","Million dollars","2009",267.4,"Dairy"
"Total dairy products ","Italy","Million dollars","2008",326.8,"Dairy"
"Total dairy products ","Italy","Million dollars","2007",302,"Dairy"
"Total dairy products ","Italy","Million dollars","2006",242,"Dairy"
"Total dairy products ","Italy","Million dollars","2005",221,"Dairy"
"Total dairy products ","Italy","Million dollars","2004",223.7,"Dairy"
"Total dairy products ","Italy","Million dollars","2003",210.6,"Dairy"
"Total dairy products ","Italy","Million dollars","2002",165.3,"Dairy"
"Total dairy products ","Italy","Million dollars","2001",162.5,"Dairy"
"Total dairy products ","Italy","Million dollars","2000",145.3,"Dairy"
"Total dairy products ","Italy","Million dollars","1999",146,"Dairy"
"Total dairy products ","Ireland","Million dollars","2023",436.7,"Dairy"
"Total dairy products ","Ireland","Million dollars","2022",399.6,"Dairy"
"Total dairy products ","Ireland","Million dollars","2021",345,"Dairy"
"Total dairy products ","Ireland","Million dollars","2020",252.9,"Dairy"
"Total dairy products ","Ireland","Million dollars","2019",260.1,"Dairy"
"Total dairy products ","Ireland","Million dollars","2018",224.1,"Dairy"
"Total dairy products ","Ireland","Million dollars","2017",145.7,"Dairy"
"Total dairy products ","Ireland","Million dollars","2016",109.9,"Dairy"
"Total dairy products ","Ireland","Million dollars","2015",90.7,"Dairy"
"Total dairy products ","Ireland","Million dollars","2014",75.1,"Dairy"
"Total dairy products ","Ireland","Million dollars","2013",57.2,"Dairy"
"Total dairy products ","Ireland","Million dollars","2012",54.6,"Dairy"
"Total dairy products ","Ireland","Million dollars","2011",42.6,"Dairy"
"Total dairy products ","Ireland","Million dollars","2010",41.1,"Dairy"
"Total dairy products ","Ireland","Million dollars","2009",39.2,"Dairy"
"Total dairy products ","Ireland","Million dollars","2008",46.5,"Dairy"
"Total dairy products ","Ireland","Million dollars","2007",43.9,"Dairy"
"Total dairy products ","Ireland","Million dollars","2006",40.6,"Dairy"
"Total dairy products ","Ireland","Million dollars","2005",44.5,"Dairy"
"Total dairy products ","Ireland","Million dollars","2004",41.3,"Dairy"
"Total dairy products ","Ireland","Million dollars","2003",28.6,"Dairy"
"Total dairy products ","Ireland","Million dollars","2002",28.7,"Dairy"
"Total dairy products ","Ireland","Million dollars","2001",23.1,"Dairy"
"Total dairy products ","Ireland","Million dollars","2000",34.9,"Dairy"
"Total dairy products ","Ireland","Million dollars","1999",42.6,"Dairy"
"Total dairy products ","New Zealand","Million dollars","2023",402.8,"Dairy"
"Total dairy products ","New Zealand","Million dollars","2022",332.7,"Dairy"
"Total dairy products ","New Zealand","Million dollars","2021",279.5,"Dairy"
"Total dairy products ","New Zealand","Million dollars","2020",263.4,"Dairy"
"Total dairy products ","New Zealand","Million dollars","2019",243.7,"Dairy"
"Total dairy products ","New Zealand","Million dollars","2018",249.9,"Dairy"
"Total dairy products ","New Zealand","Million dollars","2017",286.9,"Dairy"
"Total dairy products ","New Zealand","Million dollars","2016",340.3,"Dairy"
"Total dairy products ","New Zealand","Million dollars","2015",371.1,"Dairy"
"Total dairy products ","New Zealand","Million dollars","2014",344.5,"Dairy"
"Total dairy products ","New Zealand","Million dollars","2013",256.1,"Dairy"
"Total dairy products ","New Zealand","Million dollars","2012",343.9,"Dairy"
"Total dairy products ","New Zealand","Million dollars","2011",269.9,"Dairy"
"Total dairy products ","New Zealand","Million dollars","2010",238.8,"Dairy"
"Total dairy products ","New Zealand","Million dollars","2009",261,"Dairy"
"Total dairy products ","New Zealand","Million dollars","2008",313,"Dairy"
"Total dairy products ","New Zealand","Million dollars","2007",256.2,"Dairy"
"Total dairy products ","New Zealand","Million dollars","2006",277.8,"Dairy"
"Total dairy products ","New Zealand","Million dollars","2005",251.6,"Dairy"
