"category","country","unit","year","value"
"Total fruit and preparations 1/","Mexico","Million dollars","2023","11258.9"
"Total fruit and preparations 1/","Mexico","Million dollars","2022","10927.9"
"Total fruit and preparations 1/","Mexico","Million dollars","2021","9930.1"
"Total fruit and preparations 1/","Mexico","Million dollars","2020","8238.2999999999993"
"Total fruit and preparations 1/","Mexico","Million dollars","2019","8487.6"
"Total fruit and preparations 1/","Mexico","Million dollars","2018","7320"
"Total fruit and preparations 1/","Mexico","Million dollars","2017","7368.1"
"Total fruit and preparations 1/","Mexico","Million dollars","2016","6099.7"
"Total fruit and preparations 1/","Mexico","Million dollars","2015","5397.4"
"Total fruit and preparations 1/","Mexico","Million dollars","2014","4688.1000000000004"
"Total fruit and preparations 1/","Mexico","Million dollars","2013","3982.7"
"Total fruit and preparations 1/","Mexico","Million dollars","2012","3513.1"
"Total fruit and preparations 1/","Mexico","Million dollars","2011","3119.4"
"Total fruit and preparations 1/","Mexico","Million dollars","2010","2925.7"
"Total fruit and preparations 1/","Mexico","Million dollars","2009","2442.4"
"Total fruit and preparations 1/","Mexico","Million dollars","2008","2224"
"Total fruit and preparations 1/","Mexico","Million dollars","2007","2076.8000000000002"
"Total fruit and preparations 1/","Mexico","Million dollars","2006","1493.1"
"Total fruit and preparations 1/","Mexico","Million dollars","2005","1516.1"
"Total fruit and preparations 1/","Mexico","Million dollars","2004","1148.0999999999999"
"Total fruit and preparations 1/","Mexico","Million dollars","2003","956.4"
"Total fruit and preparations 1/","Mexico","Million dollars","2002","866.3"
"Total fruit and preparations 1/","Mexico","Million dollars","2001","840.1"
"Total fruit and preparations 1/","Mexico","Million dollars","2000","800.6"
"Total fruit and preparations 1/","Mexico","Million dollars","1999","972.7"
"Total fruit and preparations 1/","Peru","Million dollars","2023","2488.4"
"Total fruit and preparations 1/","Peru","Million dollars","2022","2428.6"
"Total fruit and preparations 1/","Peru","Million dollars","2021","1869.9"
"Total fruit and preparations 1/","Peru","Million dollars","2020","1677.8"
"Total fruit and preparations 1/","Peru","Million dollars","2019","1428.5"
"Total fruit and preparations 1/","Peru","Million dollars","2018","1150.4000000000001"
"Total fruit and preparations 1/","Peru","Million dollars","2017","863.9"
"Total fruit and preparations 1/","Peru","Million dollars","2016","668"
"Total fruit and preparations 1/","Peru","Million dollars","2015","577.1"
"Total fruit and preparations 1/","Peru","Million dollars","2014","481.1"
"Total fruit and preparations 1/","Peru","Million dollars","2013","285.7"
"Total fruit and preparations 1/","Peru","Million dollars","2012","233.7"
"Total fruit and preparations 1/","Peru","Million dollars","2011","231.2"
"Total fruit and preparations 1/","Peru","Million dollars","2010","142.69999999999999"
"Total fruit and preparations 1/","Peru","Million dollars","2009","105.3"
"Total fruit and preparations 1/","Peru","Million dollars","2008","107.1"
"Total fruit and preparations 1/","Peru","Million dollars","2007","76.7"
"Total fruit and preparations 1/","Peru","Million dollars","2006","69.099999999999994"
"Total fruit and preparations 1/","Peru","Million dollars","2005","51"
"Total fruit and preparations 1/","Peru","Million dollars","2004","36.799999999999997"
"Total fruit and preparations 1/","Peru","Million dollars","2003","29"
"Total fruit and preparations 1/","Peru","Million dollars","2002","35.1"
"Total fruit and preparations 1/","Peru","Million dollars","2001","21.5"
"Total fruit and preparations 1/","Peru","Million dollars","2000","16.100000000000001"
"Total fruit and preparations 1/","Peru","Million dollars","1999","15"
"Total fruit and preparations 1/","Chile","Million dollars","2023","2052.8000000000002"
"Total fruit and preparations 1/","Chile","Million dollars","2022","2252.9"
"Total fruit and preparations 1/","Chile","Million dollars","2021","2188.1"
"Total fruit and preparations 1/","Chile","Million dollars","2020","1950.9"
"Total fruit and preparations 1/","Chile","Million dollars","2019","2016.8"
"Total fruit and preparations 1/","Chile","Million dollars","2018","2243.8000000000002"
"Total fruit and preparations 1/","Chile","Million dollars","2017","2050.1999999999998"
"Total fruit and preparations 1/","Chile","Million dollars","2016","2281.6999999999998"
"Total fruit and preparations 1/","Chile","Million dollars","2015","2005.4"
"Total fruit and preparations 1/","Chile","Million dollars","2014","1890.3"
"Total fruit and preparations 1/","Chile","Million dollars","2013","1859"
"Total fruit and preparations 1/","Chile","Million dollars","2012","1519.3"
"Total fruit and preparations 1/","Chile","Million dollars","2011","1606.4"
"Total fruit and preparations 1/","Chile","Million dollars","2010","1586.2"
"Total fruit and preparations 1/","Chile","Million dollars","2009","1494.8"
"Total fruit and preparations 1/","Chile","Million dollars","2008","1493.2"
"Total fruit and preparations 1/","Chile","Million dollars","2007","1325.1"
"Total fruit and preparations 1/","Chile","Million dollars","2006","1346"
"Total fruit and preparations 1/","Chile","Million dollars","2005","1138.9000000000001"
"Total fruit and preparations 1/","Chile","Million dollars","2004","1005.8"
"Total fruit and preparations 1/","Chile","Million dollars","2003","868.4"
"Total fruit and preparations 1/","Chile","Million dollars","2002","827.8"
"Total fruit and preparations 1/","Chile","Million dollars","2001","687.2"
"Total fruit and preparations 1/","Chile","Million dollars","2000","686.8"
"Total fruit and preparations 1/","Chile","Million dollars","1999","591.79999999999995"
"Total fruit and preparations 1/","Guatemala","Million dollars","2023","1537.4"
"Total fruit and preparations 1/","Guatemala","Million dollars","2022","1403.7"
"Total fruit and preparations 1/","Guatemala","Million dollars","2021","1317.3"
"Total fruit and preparations 1/","Guatemala","Million dollars","2020","1217.2"
"Total fruit and preparations 1/","Guatemala","Million dollars","2019","1239.3"
"Total fruit and preparations 1/","Guatemala","Million dollars","2018","1269.7"
"Total fruit and preparations 1/","Guatemala","Million dollars","2017","1222"
"Total fruit and preparations 1/","Guatemala","Million dollars","2016","1135.5"
"Total fruit and preparations 1/","Guatemala","Million dollars","2015","1085.5999999999999"
"Total fruit and preparations 1/","Guatemala","Million dollars","2014","1017.7"
"Total fruit and preparations 1/","Guatemala","Million dollars","2013","943.2"
"Total fruit and preparations 1/","Guatemala","Million dollars","2012","865.9"
"Total fruit and preparations 1/","Guatemala","Million dollars","2011","798.7"
"Total fruit and preparations 1/","Guatemala","Million dollars","2010","598.1"
"Total fruit and preparations 1/","Guatemala","Million dollars","2009","597.20000000000005"
"Total fruit and preparations 1/","Guatemala","Million dollars","2008","508.7"
"Total fruit and preparations 1/","Guatemala","Million dollars","2007","454.3"
"Total fruit and preparations 1/","Guatemala","Million dollars","2006","367"
"Total fruit and preparations 1/","Guatemala","Million dollars","2005","379.2"
"Total fruit and preparations 1/","Guatemala","Million dollars","2004","352.2"
"Total fruit and preparations 1/","Guatemala","Million dollars","2003","336.2"
"Total fruit and preparations 1/","Guatemala","Million dollars","2002","337.4"
"Total fruit and preparations 1/","Guatemala","Million dollars","2001","291.5"
"Total fruit and preparations 1/","Guatemala","Million dollars","2000","249.9"
"Total fruit and preparations 1/","Guatemala","Million dollars","1999","192.1"
"Total fruit and preparations 1/","Costa Rica","Million dollars","2023","1342.3"
"Total fruit and preparations 1/","Costa Rica","Million dollars","2022","1229.4000000000001"
"Total fruit and preparations 1/","Costa Rica","Million dollars","2021","1193.5999999999999"
"Total fruit and preparations 1/","Costa Rica","Million dollars","2020","1111.2"
"Total fruit and preparations 1/","Costa Rica","Million dollars","2019","1087.0999999999999"
"Total fruit and preparations 1/","Costa Rica","Million dollars","2018","1131.9000000000001"
"Total fruit and preparations 1/","Costa Rica","Million dollars","2017","1170.7"
"Total fruit and preparations 1/","Costa Rica","Million dollars","2016","1119"
"Total fruit and preparations 1/","Costa Rica","Million dollars","2015","994.1"
"Total fruit and preparations 1/","Costa Rica","Million dollars","2014","1120.8"
"Total fruit and preparations 1/","Costa Rica","Million dollars","2013","1025.7"
"Total fruit and preparations 1/","Costa Rica","Million dollars","2012","975.1"
"Total fruit and preparations 1/","Costa Rica","Million dollars","2011","924.7"
"Total fruit and preparations 1/","Costa Rica","Million dollars","2010","905.9"
"Total fruit and preparations 1/","Costa Rica","Million dollars","2009","738.5"
"Total fruit and preparations 1/","Costa Rica","Million dollars","2008","781"
"Total fruit and preparations 1/","Costa Rica","Million dollars","2007","846"
"Total fruit and preparations 1/","Costa Rica","Million dollars","2006","811.8"
"Total fruit and preparations 1/","Costa Rica","Million dollars","2005","564.29999999999995"
"Total fruit and preparations 1/","Costa Rica","Million dollars","2004","539.4"
"Total fruit and preparations 1/","Costa Rica","Million dollars","2003","579.5"
"Total fruit and preparations 1/","Costa Rica","Million dollars","2002","542.20000000000005"
"Total fruit and preparations 1/","Costa Rica","Million dollars","2001","568.20000000000005"
"Total fruit and preparations 1/","Costa Rica","Million dollars","2000","545.79999999999995"
"Total fruit and preparations 1/","Costa Rica","Million dollars","1999","552.4"
"Total fruit and preparations 1/","Canada","Million dollars","2023","1107.4000000000001"
"Total fruit and preparations 1/","Canada","Million dollars","2022","1097.4000000000001"
"Total fruit and preparations 1/","Canada","Million dollars","2021","865.6"
"Total fruit and preparations 1/","Canada","Million dollars","2020","766.3"
"Total fruit and preparations 1/","Canada","Million dollars","2019","713.9"
"Total fruit and preparations 1/","Canada","Million dollars","2018","714.6"
"Total fruit and preparations 1/","Canada","Million dollars","2017","662.7"
"Total fruit and preparations 1/","Canada","Million dollars","2016","675.4"
"Total fruit and preparations 1/","Canada","Million dollars","2015","712.7"
"Total fruit and preparations 1/","Canada","Million dollars","2014","645.79999999999995"
"Total fruit and preparations 1/","Canada","Million dollars","2013","634.9"
"Total fruit and preparations 1/","Canada","Million dollars","2012","644.5"
"Total fruit and preparations 1/","Canada","Million dollars","2011","529.70000000000005"
"Total fruit and preparations 1/","Canada","Million dollars","2010","434.7"
"Total fruit and preparations 1/","Canada","Million dollars","2009","438.5"
"Total fruit and preparations 1/","Canada","Million dollars","2008","514.79999999999995"
"Total fruit and preparations 1/","Canada","Million dollars","2007","482.7"
"Total fruit and preparations 1/","Canada","Million dollars","2006","416.3"
"Total fruit and preparations 1/","Canada","Million dollars","2005","355.2"
"Total fruit and preparations 1/","Canada","Million dollars","2004","313.60000000000002"
"Total fruit and preparations 1/","Canada","Million dollars","2003","271.10000000000002"
"Total fruit and preparations 1/","Canada","Million dollars","2002","214.1"
"Total fruit and preparations 1/","Canada","Million dollars","2001","198.1"
"Total fruit and preparations 1/","Canada","Million dollars","2000","174.4"
