"category","country","unit","year","value","sheet"
"Total grains and products ","Canada","Million dollars","2023",8954,"Grains"
"Total grains and products ","Canada","Million dollars","2022",8277.5,"Grains"
"Total grains and products ","Canada","Million dollars","2021",6404.2,"Grains"
"Total grains and products ","Canada","Million dollars","2020",5594.4,"Grains"
"Total grains and products ","Canada","Million dollars","2019",5423.7,"Grains"
"Total grains and products ","Canada","Million dollars","2018",5473.3,"Grains"
"Total grains and products ","Canada","Million dollars","2017",4949.5,"Grains"
"Total grains and products ","Canada","Million dollars","2016",4587.9,"Grains"
"Total grains and products ","Canada","Million dollars","2015",4729.2,"Grains"
"Total grains and products ","Canada","Million dollars","2014",4994.1,"Grains"
"Total grains and products ","Canada","Million dollars","2013",5087,"Grains"
"Total grains and products ","Canada","Million dollars","2012",4505.4,"Grains"
"Total grains and products ","Canada","Million dollars","2011",4097.2,"Grains"
"Total grains and products ","Canada","Million dollars","2010",3580.2,"Grains"
"Total grains and products ","Canada","Million dollars","2009",3590.9,"Grains"
"Total grains and products ","Canada","Million dollars","2008",4436.4,"Grains"
"Total grains and products ","Canada","Million dollars","2007",3263.5,"Grains"
"Total grains and products ","Canada","Million dollars","2006",2661.1,"Grains"
"Total grains and products ","Canada","Million dollars","2005",2245.2,"Grains"
"Total grains and products ","Canada","Million dollars","2004",2109.2,"Grains"
"Total grains and products ","Canada","Million dollars","2003",1882.4,"Grains"
"Total grains and products ","Canada","Million dollars","2002",1827.1,"Grains"
"Total grains and products ","Canada","Million dollars","2001",1644.2,"Grains"
"Total grains and products ","Canada","Million dollars","2000",1484.7,"Grains"
"Total grains and products ","Canada","Million dollars","1999",1416.6,"Grains"
"Total grains and products ","Mexico","Million dollars","2023",3040.5,"Grains"
"Total grains and products ","Mexico","Million dollars","2022",2712.1,"Grains"
"Total grains and products ","Mexico","Million dollars","2021",2123.4,"Grains"
"Total grains and products ","Mexico","Million dollars","2020",1792.7,"Grains"
"Total grains and products ","Mexico","Million dollars","2019",1581.3,"Grains"
"Total grains and products ","Mexico","Million dollars","2018",1496.6,"Grains"
"Total grains and products ","Mexico","Million dollars","2017",1414.5,"Grains"
"Total grains and products ","Mexico","Million dollars","2016",1322.7,"Grains"
"Total grains and products ","Mexico","Million dollars","2015",1087.5,"Grains"
"Total grains and products ","Mexico","Million dollars","2014",959.9,"Grains"
"Total grains and products ","Mexico","Million dollars","2013",979.3,"Grains"
"Total grains and products ","Mexico","Million dollars","2012",969.7,"Grains"
"Total grains and products ","Mexico","Million dollars","2011",911.9,"Grains"
"Total grains and products ","Mexico","Million dollars","2010",756.2,"Grains"
"Total grains and products ","Mexico","Million dollars","2009",662.4,"Grains"
"Total grains and products ","Mexico","Million dollars","2008",627.7,"Grains"
"Total grains and products ","Mexico","Million dollars","2007",524.8,"Grains"
"Total grains and products ","Mexico","Million dollars","2006",400.2,"Grains"
"Total grains and products ","Mexico","Million dollars","2005",331,"Grains"
"Total grains and products ","Mexico","Million dollars","2004",301,"Grains"
"Total grains and products ","Mexico","Million dollars","2003",259.5,"Grains"
"Total grains and products ","Mexico","Million dollars","2002",218.2,"Grains"
"Total grains and products ","Mexico","Million dollars","2001",197.1,"Grains"
"Total grains and products ","Mexico","Million dollars","2000",169.7,"Grains"
"Total grains and products ","Mexico","Million dollars","1999",161.7,"Grains"
"Total grains and products ","Italy","Million dollars","2023",1136.6,"Grains"
"Total grains and products ","Italy","Million dollars","2022",1130,"Grains"
"Total grains and products ","Italy","Million dollars","2021",869,"Grains"
"Total grains and products ","Italy","Million dollars","2020",818.2,"Grains"
"Total grains and products ","Italy","Million dollars","2019",666.8,"Grains"
"Total grains and products ","Italy","Million dollars","2018",595.4,"Grains"
"Total grains and products ","Italy","Million dollars","2017",523.8,"Grains"
"Total grains and products ","Italy","Million dollars","2016",492.7,"Grains"
"Total grains and products ","Italy","Million dollars","2015",486.6,"Grains"
"Total grains and products ","Italy","Million dollars","2014",462.8,"Grains"
"Total grains and products ","Italy","Million dollars","2013",401,"Grains"
"Total grains and products ","Italy","Million dollars","2012",396.7,"Grains"
"Total grains and products ","Italy","Million dollars","2011",361.3,"Grains"
"Total grains and products ","Italy","Million dollars","2010",319.1,"Grains"
"Total grains and products ","Italy","Million dollars","2009",313.9,"Grains"
"Total grains and products ","Italy","Million dollars","2008",333.7,"Grains"
"Total grains and products ","Italy","Million dollars","2007",321.5,"Grains"
"Total grains and products ","Italy","Million dollars","2006",280.4,"Grains"
"Total grains and products ","Italy","Million dollars","2005",267.6,"Grains"
"Total grains and products ","Italy","Million dollars","2004",233.3,"Grains"
"Total grains and products ","Italy","Million dollars","2003",217.4,"Grains"
"Total grains and products ","Italy","Million dollars","2002",197.9,"Grains"
"Total grains and products ","Italy","Million dollars","2001",183.7,"Grains"
"Total grains and products ","Italy","Million dollars","2000",173.3,"Grains"
"Total grains and products ","Italy","Million dollars","1999",180,"Grains"
"Total grains and products ","Thailand","Million dollars","2023",970.3,"Grains"
"Total grains and products ","Thailand","Million dollars","2022",993.1,"Grains"
"Total grains and products ","Thailand","Million dollars","2021",797.6,"Grains"
"Total grains and products ","Thailand","Million dollars","2020",980.9,"Grains"
"Total grains and products ","Thailand","Million dollars","2019",902.3,"Grains"
"Total grains and products ","Thailand","Million dollars","2018",783.4,"Grains"
"Total grains and products ","Thailand","Million dollars","2017",583.7,"Grains"
"Total grains and products ","Thailand","Million dollars","2016",564.1,"Grains"
"Total grains and products ","Thailand","Million dollars","2015",605,"Grains"
"Total grains and products ","Thailand","Million dollars","2014",603.9,"Grains"
"Total grains and products ","Thailand","Million dollars","2013",617.6,"Grains"
"Total grains and products ","Thailand","Million dollars","2012",574.7,"Grains"
"Total grains and products ","Thailand","Million dollars","2011",539.8,"Grains"
"Total grains and products ","Thailand","Million dollars","2010",515.6,"Grains"
"Total grains and products ","Thailand","Million dollars","2009",466.6,"Grains"
"Total grains and products ","Thailand","Million dollars","2008",447.9,"Grains"
"Total grains and products ","Thailand","Million dollars","2007",295.2,"Grains"
"Total grains and products ","Thailand","Million dollars","2006",241.7,"Grains"
"Total grains and products ","Thailand","Million dollars","2005",201.6,"Grains"
"Total grains and products ","Thailand","Million dollars","2004",206.5,"Grains"
"Total grains and products ","Thailand","Million dollars","2003",177.2,"Grains"
"Total grains and products ","Thailand","Million dollars","2002",136.4,"Grains"
"Total grains and products ","Thailand","Million dollars","2001",140.6,"Grains"
"Total grains and products ","Thailand","Million dollars","2000",154.4,"Grains"
"Total grains and products ","Thailand","Million dollars","1999",151,"Grains"
"Total grains and products ","India","Million dollars","2023",608.6,"Grains"
"Total grains and products ","India","Million dollars","2022",558.8,"Grains"
"Total grains and products ","India","Million dollars","2021",431.3,"Grains"
"Total grains and products ","India","Million dollars","2020",491.1,"Grains"
"Total grains and products ","India","Million dollars","2019",409.3,"Grains"
"Total grains and products ","India","Million dollars","2018",389.3,"Grains"
"Total grains and products ","India","Million dollars","2017",327.9,"Grains"
"Total grains and products ","India","Million dollars","2016",298.3,"Grains"
"Total grains and products ","India","Million dollars","2015",290.3,"Grains"
"Total grains and products ","India","Million dollars","2014",291.2,"Grains"
"Total grains and products ","India","Million dollars","2013",266.3,"Grains"
"Total grains and products ","India","Million dollars","2012",232.9,"Grains"
"Total grains and products ","India","Million dollars","2011",206.4,"Grains"
"Total grains and products ","India","Million dollars","2010",182.8,"Grains"
"Total grains and products ","India","Million dollars","2009",168.4,"Grains"
"Total grains and products ","India","Million dollars","2008",179.5,"Grains"
"Total grains and products ","India","Million dollars","2007",116.3,"Grains"
"Total grains and products ","India","Million dollars","2006",83.6,"Grains"
"Total grains and products ","India","Million dollars","2005",64.9,"Grains"
"Total grains and products ","India","Million dollars","2004",52,"Grains"
"Total grains and products ","India","Million dollars","2003",50.4,"Grains"
"Total grains and products ","India","Million dollars","2002",48.6,"Grains"
"Total grains and products ","India","Million dollars","2001",44.7,"Grains"
"Total grains and products ","India","Million dollars","2000",47.5,"Grains"
"Total grains and products ","India","Million dollars","1999",44.7,"Grains"
"Total grains and products ","South Korea","Million dollars","2023",445.1,"Grains"
"Total grains and products ","South Korea","Million dollars","2022",360.9,"Grains"
"Total grains and products ","South Korea","Million dollars","2021",309.9,"Grains"
"Total grains and products ","South Korea","Million dollars","2020",284,"Grains"
"Total grains and products ","South Korea","Million dollars","2019",218.5,"Grains"
"Total grains and products ","South Korea","Million dollars","2018",190,"Grains"
"Total grains and products ","South Korea","Million dollars","2017",165,"Grains"
"Total grains and products ","South Korea","Million dollars","2016",159.1,"Grains"
"Total grains and products ","South Korea","Million dollars","2015",140.2,"Grains"
"Total grains and products ","South Korea","Million dollars","2014",133.8,"Grains"
"Total grains and products ","South Korea","Million dollars","2013",120.1,"Grains"
"Total grains and products ","South Korea","Million dollars","2012",103,"Grains"
"Total grains and products ","South Korea","Million dollars","2011",96,"Grains"
"Total grains and products ","South Korea","Million dollars","2010",85.8,"Grains"
"Total grains and products ","South Korea","Million dollars","2009",70.2,"Grains"
"Total grains and products ","South Korea","Million dollars","2008",71.3,"Grains"
"Total grains and products ","South Korea","Million dollars","2007",62.2,"Grains"
"Total grains and products ","South Korea","Million dollars","2006",56.6,"Grains"
"Total grains and products ","South Korea","Million dollars","2005",68.3,"Grains"
"Total grains and products ","South Korea","Million dollars","2004",65.6,"Grains"
"Total grains and products ","South Korea","Million dollars","2003",55.3,"Grains"
"Total grains and products ","South Korea","Million dollars","2002",51.9,"Grains"
"Total grains and products ","South Korea","Million dollars","2001",45.3,"Grains"
"Total grains and products ","South Korea","Million dollars","2000",38.7,"Grains"
"Total grains and products ","South Korea","Million dollars","1999",36,"Grains"
"Total grains and products ","Germany","Million dollars","2023",411.6,"Grains"
"Total grains and products ","Germany","Million dollars","2022",379.4,"Grains"
"Total grains and products ","Germany","Million dollars","2021",320,"Grains"
"Total grains and products ","Germany","Million dollars","2020",281,"Grains"
"Total grains and products ","Germany","Million dollars","2019",357.6,"Grains"
"Total grains and products ","Germany","Million dollars","2018",335.7,"Grains"
"Total grains and products ","Germany","Million dollars","2017",301.5,"Grains"
"Total grains and products ","Germany","Million dollars","2016",256,"Grains"
"Total grains and products ","Germany","Million dollars","2015",252.2,"Grains"
"Total grains and products ","Germany","Million dollars","2014",265.7,"Grains"
"Total grains and products ","Germany","Million dollars","2013",234.6,"Grains"
"Total grains and products ","Germany","Million dollars","2012",218.9,"Grains"
"Total grains and products ","Germany","Million dollars","2011",194,"Grains"
"Total grains and products ","Germany","Million dollars","2010",159.7,"Grains"
"Total grains and products ","Germany","Million dollars","2009",156.9,"Grains"
"Total grains and products ","Germany","Million dollars","2008",186,"Grains"
"Total grains and products ","Germany","Million dollars","2007",135.7,"Grains"
"Total grains and products ","Germany","Million dollars","2006",111.9,"Grains"
"Total grains and products ","Germany","Million dollars","2005",102.9,"Grains"
"Total grains and products ","Germany","Million dollars","2004",107.3,"Grains"
"Total grains and products ","Germany","Million dollars","2003",91.7,"Grains"
"Total grains and products ","Germany","Million dollars","2002",67.9,"Grains"
"Total grains and products ","Germany","Million dollars","2001",67.6,"Grains"
"Total grains and products ","Germany","Million dollars","2000",65.3,"Grains"
"Total grains and products ","Germany","Million dollars","1999",58.7,"Grains"
"Total grains and products ","France","Million dollars","2023",389,"Grains"
"Total grains and products ","France","Million dollars","2022",387.3,"Grains"
"Total grains and products ","France","Million dollars","2021",327.2,"Grains"
"Total grains and products ","France","Million dollars","2020",264.5,"Grains"
"Total grains and products ","France","Million dollars","2019",290.3,"Grains"
"Total grains and products ","France","Million dollars","2018",271.5,"Grains"
"Total grains and products ","France","Million dollars","2017",227.2,"Grains"
"Total grains and products ","France","Million dollars","2016",212.7,"Grains"
"Total grains and products ","France","Million dollars","2015",143.8,"Grains"
"Total grains and products ","France","Million dollars","2014",130.9,"Grains"
"Total grains and products ","France","Million dollars","2013",110.1,"Grains"
"Total grains and products ","France","Million dollars","2012",94.7,"Grains"
"Total grains and products ","France","Million dollars","2011",101.4,"Grains"
"Total grains and products ","France","Million dollars","2010",99,"Grains"
"Total grains and products ","France","Million dollars","2009",96.8,"Grains"
"Total grains and products ","France","Million dollars","2008",129.7,"Grains"
"Total grains and products ","France","Million dollars","2007",94.3,"Grains"
"Total grains and products ","France","Million dollars","2006",82.8,"Grains"
"Total grains and products ","France","Million dollars","2005",79.3,"Grains"
"Total grains and products ","France","Million dollars","2004",98.5,"Grains"
"Total grains and products ","France","Million dollars","2003",82.5,"Grains"
"Total grains and products ","France","Million dollars","2002",70.1,"Grains"
"Total grains and products ","France","Million dollars","2001",54.5,"Grains"
"Total grains and products ","France","Million dollars","2000",51.5,"Grains"
"Total grains and products ","France","Million dollars","1999",56.8,"Grains"
"Total grains and products ","Australia","Million dollars","2023",344.3,"Grains"
"Total grains and products ","Australia","Million dollars","2022",284.3,"Grains"
"Total grains and products ","Australia","Million dollars","2021",157,"Grains"
"Total grains and products ","Australia","Million dollars","2020",152,"Grains"
"Total grains and products ","Australia","Million dollars","2019",189.6,"Grains"
"Total grains and products ","Australia","Million dollars","2018",194.7,"Grains"
"Total grains and products ","Australia","Million dollars","2017",167.8,"Grains"
"Total grains and products ","Australia","Million dollars","2016",180.1,"Grains"
"Total grains and products ","Australia","Million dollars","2015",167.4,"Grains"
"Total grains and products ","Australia","Million dollars","2014",196.2,"Grains"
"Total grains and products ","Australia","Million dollars","2013",200.2,"Grains"
"Total grains and products ","Australia","Million dollars","2012",134.4,"Grains"
"Total grains and products ","Australia","Million dollars","2011",141,"Grains"
"Total grains and products ","Australia","Million dollars","2010",153.6,"Grains"
"Total grains and products ","Australia","Million dollars","2009",114.7,"Grains"
"Total grains and products ","Australia","Million dollars","2008",103,"Grains"
"Total grains and products ","Australia","Million dollars","2007",64.7,"Grains"
"Total grains and products ","Australia","Million dollars","2006",39.2,"Grains"
"Total grains and products ","Australia","Million dollars","2005",37.1,"Grains"
"Total grains and products ","Australia","Million dollars","2004",33.2,"Grains"
"Total grains and products ","Australia","Million dollars","2003",35.1,"Grains"
"Total grains and products ","Australia","Million dollars","2002",45.2,"Grains"
"Total grains and products ","Australia","Million dollars","2001",35.9,"Grains"
"Total grains and products ","Australia","Million dollars","2000",40.2,"Grains"
"Total grains and products ","Australia","Million dollars","1999",44.6,"Grains"
"Total grains and products ","Rest of world","Million dollars","2023",3521,"Grains"
"Total grains and products ","Rest of world","Million dollars","2022",3379.1,"Grains"
"Total grains and products ","Rest of world","Million dollars","2021",2580.9,"Grains"
"Total grains and products ","Rest of world","Million dollars","2020",2451.8,"Grains"
"Total grains and products ","Rest of world","Million dollars","2019",2256.4,"Grains"
"Total grains and products ","Rest of world","Million dollars","2018",2121.7,"Grains"
"Total grains and products ","Rest of world","Million dollars","2017",1984.2,"Grains"
"Total grains and products ","Rest of world","Million dollars","2016",1905,"Grains"
"Total grains and products ","Rest of world","Million dollars","2015",1933.8,"Grains"
"Total grains and products ","Rest of world","Million dollars","2014",1785.4,"Grains"
"Total grains and products ","Rest of world","Million dollars","2013",2051.2,"Grains"
"Total grains and products ","Rest of world","Million dollars","2012",1690.5,"Grains"
"Total grains and products ","Rest of world","Million dollars","2011",1273.2,"Grains"
"Total grains and products ","Rest of world","Million dollars","2010",1163.7,"Grains"
"Total grains and products ","Rest of world","Million dollars","2009",1107.2,"Grains"
"Total grains and products ","Rest of world","Million dollars","2008",1098.1,"Grains"
"Total grains and products ","Rest of world","Million dollars","2007",979.3,"Grains"
"Total grains and products ","Rest of world","Million dollars","2006",903,"Grains"
"Total grains and products ","Rest of world","Million dollars","2005",797.700000000001,"Grains"
"Total grains and products ","Rest of world","Million dollars","2004",756.6,"Grains"
"Total grains and products ","Rest of world","Million dollars","2003",712.2,"Grains"
"Total grains and products ","Rest of world","Million dollars","2002",643.1,"Grains"
"Total grains and products ","Rest of world","Million dollars","2001",550.8,"Grains"
"Total grains and products ","Rest of world","Million dollars","2000",487.1,"Grains"
"Total grains and products ","Rest of world","Million dollars","1999",484.9,"Grains"
"Total grains and products ","World","Million dollars","2023",19821,"Grains"
"Total grains and products ","World","Million dollars","2022",18462.5,"Grains"
"Total grains and products ","World","Million dollars","2021",14320.5,"Grains"
"Total grains and products ","World","Million dollars","2020",13110.6,"Grains"
"Total grains and products ","World","Million dollars","2019",12295.8,"Grains"
"Total grains and products ","World","Million dollars","2018",11851.6,"Grains"
"Total grains and products ","World","Million dollars","2017",10645.1,"Grains"
"Total grains and products ","World","Million dollars","2016",9978.6,"Grains"
"Total grains and products ","World","Million dollars","2015",9836,"Grains"
"Total grains and products ","World","Million dollars","2014",9823.9,"Grains"
"Total grains and products ","World","Million dollars","2013",10067.4,"Grains"
"Total grains and products ","World","Million dollars","2012",8920.9,"Grains"
"Total grains and products ","World","Million dollars","2011",7922.2,"Grains"
"Total grains and products ","World","Million dollars","2010",7015.7,"Grains"
"Total grains and products ","World","Million dollars","2009",6748,"Grains"
"Total grains and products ","World","Million dollars","2008",7613.3,"Grains"
"Total grains and products ","World","Million dollars","2007",5857.5,"Grains"
"Total grains and products ","World","Million dollars","2006",4860.5,"Grains"
"Total grains and products ","World","Million dollars","2005",4195.6,"Grains"
"Total grains and products ","World","Million dollars","2004",3963.2,"Grains"
"Total grains and products ","World","Million dollars","2003",3563.7,"Grains"
"Total grains and products ","World","Million dollars","2002",3306.4,"Grains"
"Total grains and products ","World","Million dollars","2001",2964.4,"Grains"
"Total grains and products ","World","Million dollars","2000",2712.4,"Grains"
"Total grains and products ","World","Million dollars","1999",2635,"Grains"
"Total grains and products ","World (quantity)","1,000 metric tons","2023",13275.4,"Grains"
"Total grains and products ","World (quantity)","1,000 metric tons","2022",12117.3,"Grains"
"Total grains and products ","World (quantity)","1,000 metric tons","2021",10850.8,"Grains"
"Total grains and products ","World (quantity)","1,000 metric tons","2020",11355.4,"Grains"
"Total grains and products ","World (quantity)","1,000 metric tons","2019",11076.5,"Grains"
"Total grains and products ","World (quantity)","1,000 metric tons","2018",11810.7,"Grains"
"Total grains and products ","World (quantity)","1,000 metric tons","2017",11505.7,"Grains"
"Total grains and products ","World (quantity)","1,000 metric tons","2016",10671.4,"Grains"
"Total grains and products ","World (quantity)","1,000 metric tons","2015",10682.8,"Grains"
"Total grains and products ","World (quantity)","1,000 metric tons","2014",11077.7,"Grains"
"Total grains and products ","World (quantity)","1,000 metric tons","2013",12763.1,"Grains"
"Total grains and products ","World (quantity)","1,000 metric tons","2012",10414.9,"Grains"
"Total grains and products ","World (quantity)","1,000 metric tons","2011",8368.1,"Grains"
"Total grains and products ","World (quantity)","1,000 metric tons","2010",8447.4,"Grains"
"Total grains and products ","World (quantity)","1,000 metric tons","2009",8655.6,"Grains"
"Total grains and products ","World (quantity)","1,000 metric tons","2008",9644.6,"Grains"
"Total grains and products ","World (quantity)","1,000 metric tons","2007",8739.6,"Grains"
"Total grains and products ","World (quantity)","1,000 metric tons","2006",7687.3,"Grains"
"Total grains and products ","World (quantity)","1,000 metric tons","2005",6541.5,"Grains"
"Total grains and products ","World (quantity)","1,000 metric tons","2004",6487.1,"Grains"
"Total grains and products ","World (quantity)","1,000 metric tons","2003",6063.1,"Grains"
"Total grains and products ","World (quantity)","1,000 metric tons","2002",6897.7,"Grains"
"Total grains and products ","World (quantity)","1,000 metric tons","2001",7330.8,"Grains"
"Total grains and products ","World (quantity)","1,000 metric tons","2000",6532.7,"Grains"
"Total grains and products ","World (quantity)","1,000 metric tons","1999",6895.5,"Grains"
"Bulk grains ","Canada","Million dollars","2023",1577.3,"Grains"
"Bulk grains ","Canada","Million dollars","2022",1426.7,"Grains"
"Bulk grains ","Canada","Million dollars","2021",923.1,"Grains"
"Bulk grains ","Canada","Million dollars","2020",906.6,"Grains"
"Bulk grains ","Canada","Million dollars","2019",873.2,"Grains"
"Bulk grains ","Canada","Million dollars","2018",1249.8,"Grains"
"Bulk grains ","Canada","Million dollars","2017",1175,"Grains"
"Bulk grains ","Canada","Million dollars","2016",945.1,"Grains"
"Bulk grains ","Canada","Million dollars","2015",1278.9,"Grains"
"Bulk grains ","Canada","Million dollars","2014",1682.8,"Grains"
"Bulk grains ","Canada","Million dollars","2013",1962.2,"Grains"
"Bulk grains ","Canada","Million dollars","2012",1539.2,"Grains"
"Bulk grains ","Canada","Million dollars","2011",1238.9,"Grains"
"Bulk grains ","Canada","Million dollars","2010",955.8,"Grains"
"Bulk grains ","Canada","Million dollars","2009",1152.6,"Grains"
"Bulk grains ","Canada","Million dollars","2008",1880.3,"Grains"
"Bulk grains ","Canada","Million dollars","2007",995.7,"Grains"
"Bulk grains ","Canada","Million dollars","2006",622.6,"Grains"
"Bulk grains ","Canada","Million dollars","2005",391.4,"Grains"
"Bulk grains ","Canada","Million dollars","2004",399.7,"Grains"
"Bulk grains ","Canada","Million dollars","2003",317.6,"Grains"
"Bulk grains ","Canada","Million dollars","2002",470.4,"Grains"
"Bulk grains ","Canada","Million dollars","2001",518.7,"Grains"
"Bulk grains ","Canada","Million dollars","2000",452.4,"Grains"
"Bulk grains ","Canada","Million dollars","1999",488.5,"Grains"
"Bulk grains ","Thailand","Million dollars","2023",665.8,"Grains"
"Bulk grains ","Thailand","Million dollars","2022",624.9,"Grains"
"Bulk grains ","Thailand","Million dollars","2021",501.3,"Grains"
"Bulk grains ","Thailand","Million dollars","2020",694.2,"Grains"
"Bulk grains ","Thailand","Million dollars","2019",633.4,"Grains"
"Bulk grains ","Thailand","Million dollars","2018",540.3,"Grains"
"Bulk grains ","Thailand","Million dollars","2017",385,"Grains"
"Bulk grains ","Thailand","Million dollars","2016",380.6,"Grains"
