"category","country","unit","year","value","sheet"
"Total nuts ","Vietnam","Million dollars","2023",953.3,"Nuts"
"Total nuts ","Vietnam","Million dollars","2022",1052.7,"Nuts"
"Total nuts ","Vietnam","Million dollars","2021",1222.7,"Nuts"
"Total nuts ","Vietnam","Million dollars","2020",1072.1,"Nuts"
"Total nuts ","Vietnam","Million dollars","2019",1093.6,"Nuts"
"Total nuts ","Vietnam","Million dollars","2018",1317.6,"Nuts"
"Total nuts ","Vietnam","Million dollars","2017",1258.2,"Nuts"
"Total nuts ","Vietnam","Million dollars","2016",968.8,"Nuts"
"Total nuts ","Vietnam","Million dollars","2015",830.7,"Nuts"
"Total nuts ","Vietnam","Million dollars","2014",634.1,"Nuts"
"Total nuts ","Vietnam","Million dollars","2013",527.2,"Nuts"
"Total nuts ","Vietnam","Million dollars","2012",400.1,"Nuts"
"Total nuts ","Vietnam","Million dollars","2011",410.8,"Nuts"
"Total nuts ","Vietnam","Million dollars","2010",352.2,"Nuts"
"Total nuts ","Vietnam","Million dollars","2009",258.6,"Nuts"
"Total nuts ","Vietnam","Million dollars","2008",277.3,"Nuts"
"Total nuts ","Vietnam","Million dollars","2007",221.2,"Nuts"
"Total nuts ","Vietnam","Million dollars","2006",168,"Nuts"
"Total nuts ","Vietnam","Million dollars","2005",167.8,"Nuts"
"Total nuts ","Vietnam","Million dollars","2004",174,"Nuts"
"Total nuts ","Vietnam","Million dollars","2003",99.7,"Nuts"
"Total nuts ","Vietnam","Million dollars","2002",70.5,"Nuts"
"Total nuts ","Vietnam","Million dollars","2001",47.8,"Nuts"
"Total nuts ","Vietnam","Million dollars","2000",50.6,"Nuts"
"Total nuts ","Vietnam","Million dollars","1999",23.4,"Nuts"
"Total nuts ","Mexico","Million dollars","2023",689.5,"Nuts"
"Total nuts ","Mexico","Million dollars","2022",621.2,"Nuts"
"Total nuts ","Mexico","Million dollars","2021",666.9,"Nuts"
"Total nuts ","Mexico","Million dollars","2020",649.9,"Nuts"
"Total nuts ","Mexico","Million dollars","2019",763.9,"Nuts"
"Total nuts ","Mexico","Million dollars","2018",804.4,"Nuts"
"Total nuts ","Mexico","Million dollars","2017",638.2,"Nuts"
"Total nuts ","Mexico","Million dollars","2016",641.3,"Nuts"
"Total nuts ","Mexico","Million dollars","2015",486,"Nuts"
"Total nuts ","Mexico","Million dollars","2014",439.3,"Nuts"
"Total nuts ","Mexico","Million dollars","2013",306.1,"Nuts"
"Total nuts ","Mexico","Million dollars","2012",347.4,"Nuts"
"Total nuts ","Mexico","Million dollars","2011",331.3,"Nuts"
"Total nuts ","Mexico","Million dollars","2010",236.7,"Nuts"
"Total nuts ","Mexico","Million dollars","2009",234.6,"Nuts"
"Total nuts ","Mexico","Million dollars","2008",194.6,"Nuts"
"Total nuts ","Mexico","Million dollars","2007",165.9,"Nuts"
"Total nuts ","Mexico","Million dollars","2006",174.9,"Nuts"
"Total nuts ","Mexico","Million dollars","2005",146.3,"Nuts"
"Total nuts ","Mexico","Million dollars","2004",147.7,"Nuts"
"Total nuts ","Mexico","Million dollars","2003",99.2,"Nuts"
"Total nuts ","Mexico","Million dollars","2002",71.2,"Nuts"
"Total nuts ","Mexico","Million dollars","2001",47.3,"Nuts"
"Total nuts ","Mexico","Million dollars","2000",87.7,"Nuts"
"Total nuts ","Mexico","Million dollars","1999",75.1,"Nuts"
"Total nuts ","Canada","Million dollars","2023",130.1,"Nuts"
"Total nuts ","Canada","Million dollars","2022",185.8,"Nuts"
"Total nuts ","Canada","Million dollars","2021",226.3,"Nuts"
"Total nuts ","Canada","Million dollars","2020",163.5,"Nuts"
"Total nuts ","Canada","Million dollars","2019",155.1,"Nuts"
"Total nuts ","Canada","Million dollars","2018",159.2,"Nuts"
"Total nuts ","Canada","Million dollars","2017",153.6,"Nuts"
"Total nuts ","Canada","Million dollars","2016",136.3,"Nuts"
"Total nuts ","Canada","Million dollars","2015",135.8,"Nuts"
"Total nuts ","Canada","Million dollars","2014",97.3,"Nuts"
"Total nuts ","Canada","Million dollars","2013",85.2,"Nuts"
"Total nuts ","Canada","Million dollars","2012",73.5,"Nuts"
"Total nuts ","Canada","Million dollars","2011",43.8,"Nuts"
"Total nuts ","Canada","Million dollars","2010",35.2,"Nuts"
"Total nuts ","Canada","Million dollars","2009",39.5,"Nuts"
"Total nuts ","Canada","Million dollars","2008",46.2,"Nuts"
"Total nuts ","Canada","Million dollars","2007",35.7,"Nuts"
"Total nuts ","Canada","Million dollars","2006",33.1,"Nuts"
"Total nuts ","Canada","Million dollars","2005",30,"Nuts"
"Total nuts ","Canada","Million dollars","2004",29.2,"Nuts"
