"category","country","unit","year","value","sheet"
"Sauces, soups, prepared foods ","Singapore","Million dollars","2023",3047.3,"Other"
"Sauces, soups, prepared foods ","Singapore","Million dollars","2022",4069.3,"Other"
"Sauces, soups, prepared foods ","Singapore","Million dollars","2021",3461.3,"Other"
"Sauces, soups, prepared foods ","Singapore","Million dollars","2020",3205.2,"Other"
"Sauces, soups, prepared foods ","Singapore","Million dollars","2019",2973.4,"Other"
"Sauces, soups, prepared foods ","Singapore","Million dollars","2018",2610.2,"Other"
"Sauces, soups, prepared foods ","Singapore","Million dollars","2017",6.1,"Other"
"Sauces, soups, prepared foods ","Singapore","Million dollars","2016",4.9,"Other"
"Sauces, soups, prepared foods ","Singapore","Million dollars","2015",6.5,"Other"
"Sauces, soups, prepared foods ","Singapore","Million dollars","2014",8.4,"Other"
"Sauces, soups, prepared foods ","Singapore","Million dollars","2013",8,"Other"
"Sauces, soups, prepared foods ","Singapore","Million dollars","2012",8.1,"Other"
"Sauces, soups, prepared foods ","Singapore","Million dollars","2011",8.5,"Other"
"Sauces, soups, prepared foods ","Singapore","Million dollars","2010",6.8,"Other"
"Sauces, soups, prepared foods ","Singapore","Million dollars","2009",5.4,"Other"
"Sauces, soups, prepared foods ","Singapore","Million dollars","2008",5.9,"Other"
"Sauces, soups, prepared foods ","Singapore","Million dollars","2007",6.4,"Other"
"Sauces, soups, prepared foods ","Singapore","Million dollars","2006",3,"Other"
"Sauces, soups, prepared foods ","Singapore","Million dollars","2005",4.5,"Other"
"Sauces, soups, prepared foods ","Singapore","Million dollars","2004",5.3,"Other"
"Sauces, soups, prepared foods ","Singapore","Million dollars","2003",5.3,"Other"
"Sauces, soups, prepared foods ","Singapore","Million dollars","2002",6.2,"Other"
"Sauces, soups, prepared foods ","Singapore","Million dollars","2001",4.5,"Other"
"Sauces, soups, prepared foods ","Singapore","Million dollars","2000",3,"Other"
"Sauces, soups, prepared foods ","Singapore","Million dollars","1999",2.8,"Other"
"Sauces, soups, prepared foods ","Canada","Million dollars","2023",1831.3,"Other"
"Sauces, soups, prepared foods ","Canada","Million dollars","2022",1846.8,"Other"
"Sauces, soups, prepared foods ","Canada","Million dollars","2021",1664.8,"Other"
"Sauces, soups, prepared foods ","Canada","Million dollars","2020",1419.7,"Other"
"Sauces, soups, prepared foods ","Canada","Million dollars","2019",1306.4,"Other"
"Sauces, soups, prepared foods ","Canada","Million dollars","2018",1265.2,"Other"
"Sauces, soups, prepared foods ","Canada","Million dollars","2017",1165.9,"Other"
"Sauces, soups, prepared foods ","Canada","Million dollars","2016",1050.5,"Other"
"Sauces, soups, prepared foods ","Canada","Million dollars","2015",1080.1,"Other"
"Sauces, soups, prepared foods ","Canada","Million dollars","2014",1106.9,"Other"
"Sauces, soups, prepared foods ","Canada","Million dollars","2013",1090.4,"Other"
"Sauces, soups, prepared foods ","Canada","Million dollars","2012",1076.9,"Other"
"Sauces, soups, prepared foods ","Canada","Million dollars","2011",1005,"Other"
"Sauces, soups, prepared foods ","Canada","Million dollars","2010",909.1,"Other"
"Sauces, soups, prepared foods ","Canada","Million dollars","2009",857.5,"Other"
"Sauces, soups, prepared foods ","Canada","Million dollars","2008",953.6,"Other"
"Sauces, soups, prepared foods ","Canada","Million dollars","2007",883.4,"Other"
"Sauces, soups, prepared foods ","Canada","Million dollars","2006",879.8,"Other"
"Sauces, soups, prepared foods ","Canada","Million dollars","2005",781.3,"Other"
"Sauces, soups, prepared foods ","Canada","Million dollars","2004",669.4,"Other"
"Sauces, soups, prepared foods ","Canada","Million dollars","2003",483.6,"Other"
"Sauces, soups, prepared foods ","Canada","Million dollars","2002",435,"Other"
"Sauces, soups, prepared foods ","Canada","Million dollars","2001",392.5,"Other"
"Sauces, soups, prepared foods ","Canada","Million dollars","2000",332.3,"Other"
"Sauces, soups, prepared foods ","Canada","Million dollars","1999",301.7,"Other"
"Sauces, soups, prepared foods ","Italy","Million dollars","2023",782,"Other"
"Sauces, soups, prepared foods ","Italy","Million dollars","2022",665.5,"Other"
"Sauces, soups, prepared foods ","Italy","Million dollars","2021",600,"Other"
"Sauces, soups, prepared foods ","Italy","Million dollars","2020",459.7,"Other"
"Sauces, soups, prepared foods ","Italy","Million dollars","2019",375.1,"Other"
"Sauces, soups, prepared foods ","Italy","Million dollars","2018",364,"Other"
"Sauces, soups, prepared foods ","Italy","Million dollars","2017",311.3,"Other"
"Sauces, soups, prepared foods ","Italy","Million dollars","2016",269.6,"Other"
"Sauces, soups, prepared foods ","Italy","Million dollars","2015",262.5,"Other"
"Sauces, soups, prepared foods ","Italy","Million dollars","2014",250.8,"Other"
"Sauces, soups, prepared foods ","Italy","Million dollars","2013",235.5,"Other"
"Sauces, soups, prepared foods ","Italy","Million dollars","2012",210.7,"Other"
"Sauces, soups, prepared foods ","Italy","Million dollars","2011",196.4,"Other"
"Sauces, soups, prepared foods ","Italy","Million dollars","2010",169.5,"Other"
"Sauces, soups, prepared foods ","Italy","Million dollars","2009",167.9,"Other"
"Sauces, soups, prepared foods ","Italy","Million dollars","2008",178.5,"Other"
"Sauces, soups, prepared foods ","Italy","Million dollars","2007",161.7,"Other"
"Sauces, soups, prepared foods ","Italy","Million dollars","2006",139.8,"Other"
"Sauces, soups, prepared foods ","Italy","Million dollars","2005",128.8,"Other"
"Sauces, soups, prepared foods ","Italy","Million dollars","2004",117.6,"Other"
"Sauces, soups, prepared foods ","Italy","Million dollars","2003",117,"Other"
"Sauces, soups, prepared foods ","Italy","Million dollars","2002",113.5,"Other"
"Sauces, soups, prepared foods ","Italy","Million dollars","2001",90.6,"Other"
"Sauces, soups, prepared foods ","Italy","Million dollars","2000",91.9,"Other"
"Sauces, soups, prepared foods ","Italy","Million dollars","1999",81.6,"Other"
"Sauces, soups, prepared foods ","Mexico","Million dollars","2023",750.4,"Other"
"Sauces, soups, prepared foods ","Mexico","Million dollars","2022",690.5,"Other"
"Sauces, soups, prepared foods ","Mexico","Million dollars","2021",516.6,"Other"
"Sauces, soups, prepared foods ","Mexico","Million dollars","2020",437.8,"Other"
"Sauces, soups, prepared foods ","Mexico","Million dollars","2019",379.3,"Other"
"Sauces, soups, prepared foods ","Mexico","Million dollars","2018",344.3,"Other"
"Sauces, soups, prepared foods ","Mexico","Million dollars","2017",314.8,"Other"
"Sauces, soups, prepared foods ","Mexico","Million dollars","2016",304,"Other"
"Sauces, soups, prepared foods ","Mexico","Million dollars","2015",283.7,"Other"
"Sauces, soups, prepared foods ","Mexico","Million dollars","2014",294.3,"Other"
"Sauces, soups, prepared foods ","Mexico","Million dollars","2013",308.7,"Other"
"Sauces, soups, prepared foods ","Mexico","Million dollars","2012",283.2,"Other"
"Sauces, soups, prepared foods ","Mexico","Million dollars","2011",298.6,"Other"
"Sauces, soups, prepared foods ","Mexico","Million dollars","2010",296.2,"Other"
"Sauces, soups, prepared foods ","Mexico","Million dollars","2009",237.4,"Other"
"Sauces, soups, prepared foods ","Mexico","Million dollars","2008",246.4,"Other"
"Sauces, soups, prepared foods ","Mexico","Million dollars","2007",240.9,"Other"
"Sauces, soups, prepared foods ","Mexico","Million dollars","2006",238.7,"Other"
"Sauces, soups, prepared foods ","Mexico","Million dollars","2005",209.5,"Other"
"Sauces, soups, prepared foods ","Mexico","Million dollars","2004",190.7,"Other"
"Sauces, soups, prepared foods ","Mexico","Million dollars","2003",130.5,"Other"
"Sauces, soups, prepared foods ","Mexico","Million dollars","2002",97.1,"Other"
"Sauces, soups, prepared foods ","Mexico","Million dollars","2001",75.5,"Other"
"Sauces, soups, prepared foods ","Mexico","Million dollars","2000",64.6,"Other"
"Sauces, soups, prepared foods ","Mexico","Million dollars","1999",53,"Other"
"Sauces, soups, prepared foods ","China","Million dollars","2023",537.9,"Other"
"Sauces, soups, prepared foods ","China","Million dollars","2022",611.6,"Other"
"Sauces, soups, prepared foods ","China","Million dollars","2021",508.8,"Other"
"Sauces, soups, prepared foods ","China","Million dollars","2020",470.7,"Other"
"Sauces, soups, prepared foods ","China","Million dollars","2019",391.7,"Other"
"Sauces, soups, prepared foods ","China","Million dollars","2018",374.9,"Other"
"Sauces, soups, prepared foods ","China","Million dollars","2017",295.2,"Other"
"Sauces, soups, prepared foods ","China","Million dollars","2016",231.9,"Other"
"Sauces, soups, prepared foods ","China","Million dollars","2015",200.6,"Other"
