"category","country","unit","year","value","sheet"
"Total sweeteners and candy ","Mexico","Million dollars","2023",2161.4,"Sweets"
"Total sweeteners and candy ","Mexico","Million dollars","2022",2142.8,"Sweets"
"Total sweeteners and candy ","Mexico","Million dollars","2021",1625.4,"Sweets"
"Total sweeteners and candy ","Mexico","Million dollars","2020",1533.8,"Sweets"
"Total sweeteners and candy ","Mexico","Million dollars","2019",1347.9,"Sweets"
"Total sweeteners and candy ","Mexico","Million dollars","2018",1397.3,"Sweets"
"Total sweeteners and candy ","Mexico","Million dollars","2017",1296.9,"Sweets"
"Total sweeteners and candy ","Mexico","Million dollars","2016",1367.2,"Sweets"
"Total sweeteners and candy ","Mexico","Million dollars","2015",1434.7,"Sweets"
"Total sweeteners and candy ","Mexico","Million dollars","2014",1394.6,"Sweets"
"Total sweeteners and candy ","Mexico","Million dollars","2013",1696.1,"Sweets"
"Total sweeteners and candy ","Mexico","Million dollars","2012",1353.1,"Sweets"
"Total sweeteners and candy ","Mexico","Million dollars","2011",1742.7,"Sweets"
"Total sweeteners and candy ","Mexico","Million dollars","2010",1166.7,"Sweets"
"Total sweeteners and candy ","Mexico","Million dollars","2009",903.6,"Sweets"
"Total sweeteners and candy ","Mexico","Million dollars","2008",804.7,"Sweets"
"Total sweeteners and candy ","Mexico","Million dollars","2007",470.4,"Sweets"
"Total sweeteners and candy ","Mexico","Million dollars","2006",759.2,"Sweets"
"Total sweeteners and candy ","Mexico","Million dollars","2005",458.1,"Sweets"
"Total sweeteners and candy ","Mexico","Million dollars","2004",307.7,"Sweets"
"Total sweeteners and candy ","Mexico","Million dollars","2003",266.8,"Sweets"
"Total sweeteners and candy ","Mexico","Million dollars","2002",295.7,"Sweets"
"Total sweeteners and candy ","Mexico","Million dollars","2001",215.5,"Sweets"
"Total sweeteners and candy ","Mexico","Million dollars","2000",174.9,"Sweets"
"Total sweeteners and candy ","Mexico","Million dollars","1999",176.4,"Sweets"
"Total sweeteners and candy ","Canada","Million dollars","2023",1043.9,"Sweets"
"Total sweeteners and candy ","Canada","Million dollars","2022",1006.1,"Sweets"
"Total sweeteners and candy ","Canada","Million dollars","2021",869.7,"Sweets"
"Total sweeteners and candy ","Canada","Million dollars","2020",764.5,"Sweets"
"Total sweeteners and candy ","Canada","Million dollars","2019",785.8,"Sweets"
"Total sweeteners and candy ","Canada","Million dollars","2018",823.8,"Sweets"
"Total sweeteners and candy ","Canada","Million dollars","2017",814,"Sweets"
"Total sweeteners and candy ","Canada","Million dollars","2016",825.6,"Sweets"
"Total sweeteners and candy ","Canada","Million dollars","2015",828.6,"Sweets"
"Total sweeteners and candy ","Canada","Million dollars","2014",821.6,"Sweets"
"Total sweeteners and candy ","Canada","Million dollars","2013",825.7,"Sweets"
"Total sweeteners and candy ","Canada","Million dollars","2012",840.2,"Sweets"
"Total sweeteners and candy ","Canada","Million dollars","2011",763.8,"Sweets"
"Total sweeteners and candy ","Canada","Million dollars","2010",692.5,"Sweets"
"Total sweeteners and candy ","Canada","Million dollars","2009",635.9,"Sweets"
"Total sweeteners and candy ","Canada","Million dollars","2008",711.3,"Sweets"
"Total sweeteners and candy ","Canada","Million dollars","2007",671.6,"Sweets"
"Total sweeteners and candy ","Canada","Million dollars","2006",629.1,"Sweets"
"Total sweeteners and candy ","Canada","Million dollars","2005",604.8,"Sweets"
"Total sweeteners and candy ","Canada","Million dollars","2004",572.1,"Sweets"
"Total sweeteners and candy ","Canada","Million dollars","2003",594.6,"Sweets"
"Total sweeteners and candy ","Canada","Million dollars","2002",467.6,"Sweets"
"Total sweeteners and candy ","Canada","Million dollars","2001",407.8,"Sweets"
"Total sweeteners and candy ","Canada","Million dollars","2000",311.2,"Sweets"
"Total sweeteners and candy ","Canada","Million dollars","1999",319.9,"Sweets"
"Total sweeteners and candy ","Brazil","Million dollars","2023",637.3,"Sweets"
"Total sweeteners and candy ","Brazil","Million dollars","2022",386.2,"Sweets"
"Total sweeteners and candy ","Brazil","Million dollars","2021",447.4,"Sweets"
"Total sweeteners and candy ","Brazil","Million dollars","2020",420.9,"Sweets"
"Total sweeteners and candy ","Brazil","Million dollars","2019",269.1,"Sweets"
"Total sweeteners and candy ","Brazil","Million dollars","2018",310.1,"Sweets"
"Total sweeteners and candy ","Brazil","Million dollars","2017",305.5,"Sweets"
"Total sweeteners and candy ","Brazil","Million dollars","2016",295.8,"Sweets"
"Total sweeteners and candy ","Brazil","Million dollars","2015",241.5,"Sweets"
"Total sweeteners and candy ","Brazil","Million dollars","2014",245.2,"Sweets"
"Total sweeteners and candy ","Brazil","Million dollars","2013",162.1,"Sweets"
"Total sweeteners and candy ","Brazil","Million dollars","2012",292.7,"Sweets"
"Total sweeteners and candy ","Brazil","Million dollars","2011",489.8,"Sweets"
"Total sweeteners and candy ","Brazil","Million dollars","2010",332.6,"Sweets"
"Total sweeteners and candy ","Brazil","Million dollars","2009",172.4,"Sweets"
"Total sweeteners and candy ","Brazil","Million dollars","2008",171,"Sweets"
"Total sweeteners and candy ","Brazil","Million dollars","2007",186.9,"Sweets"
"Total sweeteners and candy ","Brazil","Million dollars","2006",189.4,"Sweets"
