"category","country","unit","year","value","sheet"
"Total vegetable oils ","Canada","Million dollars","2023",5058.3,"VegOils"
"Total vegetable oils ","Canada","Million dollars","2022",4164.9,"VegOils"
"Total vegetable oils ","Canada","Million dollars","2021",3101.9,"VegOils"
"Total vegetable oils ","Canada","Million dollars","2020",1693.1,"VegOils"
"Total vegetable oils ","Canada","Million dollars","2019",1743.7,"VegOils"
"Total vegetable oils ","Canada","Million dollars","2018",1724.8,"VegOils"
"Total vegetable oils ","Canada","Million dollars","2017",1913.9,"VegOils"
"Total vegetable oils ","Canada","Million dollars","2016",1751.8,"VegOils"
"Total vegetable oils ","Canada","Million dollars","2015",1529.8,"VegOils"
"Total vegetable oils ","Canada","Million dollars","2014",1626.5,"VegOils"
"Total vegetable oils ","Canada","Million dollars","2013",1667.7,"VegOils"
"Total vegetable oils ","Canada","Million dollars","2012",1920.9,"VegOils"
"Total vegetable oils ","Canada","Million dollars","2011",2043.2,"VegOils"
"Total vegetable oils ","Canada","Million dollars","2010",1091.5,"VegOils"
"Total vegetable oils ","Canada","Million dollars","2009",958.3,"VegOils"
"Total vegetable oils ","Canada","Million dollars","2008",1416,"VegOils"
"Total vegetable oils ","Canada","Million dollars","2007",681.3,"VegOils"
"Total vegetable oils ","Canada","Million dollars","2006",463.1,"VegOils"
"Total vegetable oils ","Canada","Million dollars","2005",338,"VegOils"
"Total vegetable oils ","Canada","Million dollars","2004",361.2,"VegOils"
"Total vegetable oils ","Canada","Million dollars","2003",273.6,"VegOils"
"Total vegetable oils ","Canada","Million dollars","2002",223.4,"VegOils"
"Total vegetable oils ","Canada","Million dollars","2001",205.2,"VegOils"
"Total vegetable oils ","Canada","Million dollars","2000",213.5,"VegOils"
"Total vegetable oils ","Canada","Million dollars","1999",275,"VegOils"
"Total vegetable oils ","Indonesia","Million dollars","2023",2135.3,"VegOils"
"Total vegetable oils ","Indonesia","Million dollars","2022",2927.6,"VegOils"
