"category","country","unit","year","value","sheet"
"Total vegetables and preparations ","Mexico","Million dollars","2023",9847.4,"Vegetables"
"Total vegetables and preparations ","Mexico","Million dollars","2022",9016.6,"Vegetables"
"Total vegetables and preparations ","Mexico","Million dollars","2021",8612.2,"Vegetables"
"Total vegetables and preparations ","Mexico","Million dollars","2020",8168.6,"Vegetables"
"Total vegetables and preparations ","Mexico","Million dollars","2019",7243.7,"Vegetables"
"Total vegetables and preparations ","Mexico","Million dollars","2018",6772.6,"Vegetables"
"Total vegetables and preparations ","Mexico","Million dollars","2017",6308.2,"Vegetables"
"Total vegetables and preparations ","Mexico","Million dollars","2016",6470.8,"Vegetables"
"Total vegetables and preparations ","Mexico","Million dollars","2015",5650.7,"Vegetables"
"Total vegetables and preparations ","Mexico","Million dollars","2014",5451.7,"Vegetables"
"Total vegetables and preparations ","Mexico","Million dollars","2013",5330.4,"Vegetables"
"Total vegetables and preparations ","Mexico","Million dollars","2012",4761.6,"Vegetables"
"Total vegetables and preparations ","Mexico","Million dollars","2011",4754.5,"Vegetables"
"Total vegetables and preparations ","Mexico","Million dollars","2010",4231.6,"Vegetables"
"Total vegetables and preparations ","Mexico","Million dollars","2009",3400.8,"Vegetables"
"Total vegetables and preparations ","Mexico","Million dollars","2008",3484.7,"Vegetables"
"Total vegetables and preparations ","Mexico","Million dollars","2007",3299.1,"Vegetables"
"Total vegetables and preparations ","Mexico","Million dollars","2006",3037.7,"Vegetables"
"Total vegetables and preparations ","Mexico","Million dollars","2005",2806.6,"Vegetables"
"Total vegetables and preparations ","Mexico","Million dollars","2004",2605.6,"Vegetables"
"Total vegetables and preparations ","Mexico","Million dollars","2003",2283.8,"Vegetables"
"Total vegetables and preparations ","Mexico","Million dollars","2002",1929.4,"Vegetables"
"Total vegetables and preparations ","Mexico","Million dollars","2001",1924.4,"Vegetables"
"Total vegetables and preparations ","Mexico","Million dollars","2000",1696.1,"Vegetables"
"Total vegetables and preparations ","Mexico","Million dollars","1999",1606.7,"Vegetables"
"Total vegetables and preparations ","Canada","Million dollars","2023",5033.3,"Vegetables"
"Total vegetables and preparations ","Canada","Million dollars","2022",4362.9,"Vegetables"
"Total vegetables and preparations ","Canada","Million dollars","2021",3802,"Vegetables"
"Total vegetables and preparations ","Canada","Million dollars","2020",3362.2,"Vegetables"
"Total vegetables and preparations ","Canada","Million dollars","2019",3033.9,"Vegetables"
"Total vegetables and preparations ","Canada","Million dollars","2018",2979.2,"Vegetables"
"Total vegetables and preparations ","Canada","Million dollars","2017",2793,"Vegetables"
"Total vegetables and preparations ","Canada","Million dollars","2016",2556.1,"Vegetables"
"Total vegetables and preparations ","Canada","Million dollars","2015",2386.8,"Vegetables"
"Total vegetables and preparations ","Canada","Million dollars","2014",2412.8,"Vegetables"
"Total vegetables and preparations ","Canada","Million dollars","2013",2399.3,"Vegetables"
"Total vegetables and preparations ","Canada","Million dollars","2012",2132,"Vegetables"
"Total vegetables and preparations ","Canada","Million dollars","2011",2114.6,"Vegetables"
"Total vegetables and preparations ","Canada","Million dollars","2010",1954.5,"Vegetables"
"Total vegetables and preparations ","Canada","Million dollars","2009",1838.9,"Vegetables"
"Total vegetables and preparations ","Canada","Million dollars","2008",1913.7,"Vegetables"
"Total vegetables and preparations ","Canada","Million dollars","2007",1728.3,"Vegetables"
"Total vegetables and preparations ","Canada","Million dollars","2006",1663.2,"Vegetables"
"Total vegetables and preparations ","Canada","Million dollars","2005",1504.4,"Vegetables"
"Total vegetables and preparations ","Canada","Million dollars","2004",1484.1,"Vegetables"
"Total vegetables and preparations ","Canada","Million dollars","2003",1340,"Vegetables"
"Total vegetables and preparations ","Canada","Million dollars","2002",1153.2,"Vegetables"
"Total vegetables and preparations ","Canada","Million dollars","2001",1046.1,"Vegetables"
"Total vegetables and preparations ","Canada","Million dollars","2000",944.6,"Vegetables"
"Total vegetables and preparations ","Canada","Million dollars","1999",793.9,"Vegetables"
"Total vegetables and preparations ","Peru","Million dollars","2023",619.7,"Vegetables"
"Total vegetables and preparations ","Peru","Million dollars","2022",693.2,"Vegetables"
"Total vegetables and preparations ","Peru","Million dollars","2021",644.5,"Vegetables"
"Total vegetables and preparations ","Peru","Million dollars","2020",596.2,"Vegetables"
"Total vegetables and preparations ","Peru","Million dollars","2019",581.6,"Vegetables"
"Total vegetables and preparations ","Peru","Million dollars","2018",556.4,"Vegetables"
"Total vegetables and preparations ","Peru","Million dollars","2017",572.9,"Vegetables"
"Total vegetables and preparations ","Peru","Million dollars","2016",575.1,"Vegetables"
"Total vegetables and preparations ","Peru","Million dollars","2015",584.3,"Vegetables"
"Total vegetables and preparations ","Peru","Million dollars","2014",554.2,"Vegetables"
"Total vegetables and preparations ","Peru","Million dollars","2013",548.9,"Vegetables"
"Total vegetables and preparations ","Peru","Million dollars","2012",515.9,"Vegetables"
"Total vegetables and preparations ","Peru","Million dollars","2011",474.6,"Vegetables"
"Total vegetables and preparations ","Peru","Million dollars","2010",427.5,"Vegetables"
"Total vegetables and preparations ","Peru","Million dollars","2009",381.8,"Vegetables"
