category,country,unit,year,value,sheet
Total live animals ,Canada,Million dollars,2023,1817.5,Animals
Total live animals ,Canada,Million dollars,2022,1733.7,Animals
Total live animals ,Canada,Million dollars,2021,1449.1,Animals
Total live animals ,Canada,Million dollars,2020,1151.6,Animals
Total live animals ,Canada,Million dollars,2019,1296.7,Animals
Total live animals ,Canada,Million dollars,2018,1129.7,Animals
Total live animals ,Canada,Million dollars,2017,1225.8,Animals
Total live animals ,Canada,Million dollars,2016,1406.1,Animals
Total live animals ,Canada,Million dollars,2015,1711.8,Animals
Total live animals ,Canada,Million dollars,2014,2207.4,Animals
Total live animals ,Canada,Million dollars,2013,1640.1,Animals
Total live animals ,Canada,Million dollars,2012,1432.1,Animals
Total live animals ,Canada,Million dollars,2011,1227.8,Animals
Total live animals ,Canada,Million dollars,2010,1444.8,Animals
Total live animals ,Canada,Million dollars,2009,1244.5,Animals
Total live animals ,Canada,Million dollars,2008,1920.7,Animals
Total live animals ,Canada,Million dollars,2007,2069.2,Animals
Total live animals ,Canada,Million dollars,2006,1616.5,Animals
Total live animals ,Canada,Million dollars,2005,1134.9,Animals
Total live animals ,Canada,Million dollars,2004,560.1,Animals
Total live animals ,Canada,Million dollars,2003,784.3,Animals
Total live animals ,Canada,Million dollars,2002,1394.8,Animals
Total live animals ,Canada,Million dollars,2001,1343.5,Animals
Total live animals ,Canada,Million dollars,2000,995.9,Animals
Total live animals ,Canada,Million dollars,1999,876.9,Animals
Total live animals ,Mexico,Million dollars,2023,1121.9,Animals
Total live animals ,Mexico,Million dollars,2022,635.5,Animals
Total live animals ,Mexico,Million dollars,2021,754.5,Animals
Total live animals ,Mexico,Million dollars,2020,929.9,Animals
Total live animals ,Mexico,Million dollars,2019,881,Animals
Total live animals ,Mexico,Million dollars,2018,827,Animals
Total live animals ,Mexico,Million dollars,2017,715.1,Animals
Total live animals ,Mexico,Million dollars,2016,584.6,Animals
Total live animals ,Mexico,Million dollars,2015,881.7,Animals
Total live animals ,Mexico,Million dollars,2014,738.5,Animals
Total live animals ,Mexico,Million dollars,2013,508.3,Animals
Total live animals ,Mexico,Million dollars,2012,716.9,Animals
Total live animals ,Mexico,Million dollars,2011,616.8,Animals
Total live animals ,Mexico,Million dollars,2010,522.2,Animals
Total live animals ,Mexico,Million dollars,2009,381,Animals
Total live animals ,Mexico,Million dollars,2008,298.3,Animals
Total live animals ,Mexico,Million dollars,2007,475.4,Animals
Total live animals ,Mexico,Million dollars,2006,524.2,Animals
Total live animals ,Mexico,Million dollars,2005,515.5,Animals
Total live animals ,Mexico,Million dollars,2004,541,Animals
Total live animals ,Mexico,Million dollars,2003,469.9,Animals
Total live animals ,Mexico,Million dollars,2002,300.5,Animals
Total live animals ,Mexico,Million dollars,2001,407.9,Animals
Total live animals ,Mexico,Million dollars,2000,405.3,Animals
Total live animals ,Mexico,Million dollars,1999,292.2,Animals
Total live animals ,Rest of world,Million dollars,2023,0,Animals
Total live animals ,Rest of world,Million dollars,2022,0,Animals
Total live animals ,Rest of world,Million dollars,2021,0,Animals
Total live animals ,Rest of world,Million dollars,2020,0.0999999999999091,Animals
Total live animals ,Rest of world,Million dollars,2019,0,Animals
Total live animals ,Rest of world,Million dollars,2018,0.0999999999999091,Animals
Total live animals ,Rest of world,Million dollars,2017,0.0999999999999091,Animals
Total live animals ,Rest of world,Million dollars,2016,0.100000000000136,Animals
Total live animals ,Rest of world,Million dollars,2015,0.0999999999999091,Animals
Total live animals ,Rest of world,Million dollars,2014,0.0999999999999091,Animals
Total live animals ,Rest of world,Million dollars,2013,0.0999999999999091,Animals
Total live animals ,Rest of world,Million dollars,2012,0.0999999999999091,Animals
Total live animals ,Rest of world,Million dollars,2011,0,Animals
Total live animals ,Rest of world,Million dollars,2010,0.299999999999955,Animals
Total live animals ,Rest of world,Million dollars,2009,0.0999999999999091,Animals
Total live animals ,Rest of world,Million dollars,2008,0,Animals
Total live animals ,Rest of world,Million dollars,2007,0.0999999999999091,Animals
Total live animals ,Rest of world,Million dollars,2006,0.300000000000182,Animals
Total live animals ,Rest of world,Million dollars,2005,0.199999999999818,Animals
Total live animals ,Rest of world,Million dollars,2004,0.600000000000136,Animals
Total live animals ,Rest of world,Million dollars,2003,0.200000000000273,Animals
Total live animals ,Rest of world,Million dollars,2002,0.400000000000091,Animals
Total live animals ,Rest of world,Million dollars,2001,0,Animals
Total live animals ,Rest of world,Million dollars,2000,0.0999999999999091,Animals
Total live animals ,Rest of world,Million dollars,1999,0.100000000000136,Animals
Total live animals ,World,Million dollars,2023,2939.4,Animals
Total live animals ,World,Million dollars,2022,2369.2,Animals
Total live animals ,World,Million dollars,2021,2203.6,Animals
Total live animals ,World,Million dollars,2020,2081.6,Animals
Total live animals ,World,Million dollars,2019,2177.7,Animals
Total live animals ,World,Million dollars,2018,1956.8,Animals
Total live animals ,World,Million dollars,2017,1941,Animals
Total live animals ,World,Million dollars,2016,1990.8,Animals
Total live animals ,World,Million dollars,2015,2593.6,Animals
Total live animals ,World,Million dollars,2014,2946,Animals
Total live animals ,World,Million dollars,2013,2148.5,Animals
Total live animals ,World,Million dollars,2012,2149.1,Animals
Total live animals ,World,Million dollars,2011,1844.6,Animals
Total live animals ,World,Million dollars,2010,1967.3,Animals
Total live animals ,World,Million dollars,2009,1625.6,Animals
Total live animals ,World,Million dollars,2008,2219,Animals
Total live animals ,World,Million dollars,2007,2544.7,Animals
Total live animals ,World,Million dollars,2006,2141,Animals
Total live animals ,World,Million dollars,2005,1650.6,Animals
Total live animals ,World,Million dollars,2004,1101.7,Animals
Total live animals ,World,Million dollars,2003,1254.4,Animals
Total live animals ,World,Million dollars,2002,1695.7,Animals
Total live animals ,World,Million dollars,2001,1751.4,Animals
Total live animals ,World,Million dollars,2000,1401.3,Animals
Total live animals ,World,Million dollars,1999,1169.2,Animals
Total live animals ,World (quantity),"1,000 head",2023,8744.7,Animals
Total live animals ,World (quantity),"1,000 head",2022,8134.9,Animals
Total live animals ,World (quantity),"1,000 head",2021,8440.9,Animals
Total live animals ,World (quantity),"1,000 head",2020,7397.3,Animals
Total live animals ,World (quantity),"1,000 head",2019,7139.2,Animals
Total live animals ,World (quantity),"1,000 head",2018,7124.5,Animals
Total live animals ,World (quantity),"1,000 head",2017,7363.3,Animals
Total live animals ,World (quantity),"1,000 head",2016,7336.2,Animals
Total live animals ,World (quantity),"1,000 head",2015,7661.2,Animals
Total live animals ,World (quantity),"1,000 head",2014,7232.6,Animals
Total live animals ,World (quantity),"1,000 head",2013,6947.3,Animals
Total live animals ,World (quantity),"1,000 head",2012,7909.8,Animals
Total live animals ,World (quantity),"1,000 head",2011,7872.7,Animals
Total live animals ,World (quantity),"1,000 head",2010,7997.6,Animals
Total live animals ,World (quantity),"1,000 head",2009,8350,Animals
Total live animals ,World (quantity),"1,000 head",2008,11558.6,Animals
Total live animals ,World (quantity),"1,000 head",2007,12419.5,Animals
Total live animals ,World (quantity),"1,000 head",2006,10985.5,Animals
Total live animals ,World (quantity),"1,000 head",2005,9951.9,Animals
Total live animals ,World (quantity),"1,000 head",2004,9866.3,Animals
Total live animals ,World (quantity),"1,000 head",2003,9223.2,Animals
Total live animals ,World (quantity),"1,000 head",2002,8302.9,Animals
Total live animals ,World (quantity),"1,000 head",2001,7758.1,Animals
Total live animals ,World (quantity),"1,000 head",2000,6521.8,Animals
Total live animals ,World (quantity),"1,000 head",1999,6058.4,Animals
"Bovine animals, live",Canada,Million dollars,2023,1311.1,Animals
"Bovine animals, live",Canada,Million dollars,2022,1132,Animals
"Bovine animals, live",Canada,Million dollars,2021,859.2,Animals
"Bovine animals, live",Canada,Million dollars,2020,872.7,Animals
"Bovine animals, live",Canada,Million dollars,2019,956.8,Animals
"Bovine animals, live",Canada,Million dollars,2018,797.8,Animals
"Bovine animals, live",Canada,Million dollars,2017,859.3,Animals
"Bovine animals, live",Canada,Million dollars,2016,1062.5,Animals
"Bovine animals, live",Canada,Million dollars,2015,1340.7,Animals
"Bovine animals, live",Canada,Million dollars,2014,1754.6,Animals
"Bovine animals, live",Canada,Million dollars,2013,1282.4,Animals
"Bovine animals, live",Canada,Million dollars,2012,1073.7,Animals
"Bovine animals, live",Canada,Million dollars,2011,847.9,Animals
"Bovine animals, live",Canada,Million dollars,2010,1068.1,Animals
"Bovine animals, live",Canada,Million dollars,2009,931.9,Animals
"Bovine animals, live",Canada,Million dollars,2008,1427.2,Animals
